Min	Max	Gen[C K-L2]	Emit[C K-L2]	Gen[C K-L3]	Emit[C K-L3]	Gen[O K-L2]	Emit[O K-L2]	Gen[O K-L3]	Emit[O K-L3]	Gen[Si K-L2]	Emit[Si K-L2]	Gen[Si K-L3]	Emit[Si K-L3]	Gen[Si K-M2]	Emit[Si K-M2]	Gen[Si K-M3]	Emit[Si K-M3]	Gen[Si L1-M2]	Emit[Si L1-M2]	Gen[Si L2-M1]	Emit[Si L2-M1]	Gen[Si L3-M1]	Emit[Si L3-M1]	Gen[P K-L2]	Emit[P K-L2]	Gen[P K-L3]	Emit[P K-L3]	Gen[P K-M2]	Emit[P K-M2]	Gen[P K-M3]	Emit[P K-M3]	Gen[P L1-M2]	Emit[P L1-M2]	Gen[P L1-M3]	Emit[P L1-M3]	Gen[P L2-M1]	Emit[P L2-M1]	Gen[P L3-M1]	Emit[P L3-M1]	Gen[S K-L2]	Emit[S K-L2]	Gen[S K-L3]	Emit[S K-L3]	Gen[S K-M2]	Emit[S K-M2]	Gen[S K-M3]	Emit[S K-M3]	Gen[S L1-M2]	Emit[S L1-M2]	Gen[S L1-M3]	Emit[S L1-M3]	Gen[S L2-M1]	Emit[S L2-M1]	Gen[S L3-M1]	Emit[S L3-M1]	Gen[Zn L1-M2]	Emit[Zn L1-M2]	Gen[Zn L1-M3]	Emit[Zn L1-M3]	Gen[Zn L1-M5]	Emit[Zn L1-M5]	Gen[Zn L2-M1]	Emit[Zn L2-M1]	Gen[Zn L2-M3]	Emit[Zn L2-M3]	Gen[Zn L2-M4]	Emit[Zn L2-M4]	Gen[Zn L2-N1]	Emit[Zn L2-N1]	Gen[Zn L3-M1]	Emit[Zn L3-M1]	Gen[Zn L3-M2]	Emit[Zn L3-M2]	Gen[Zn L3-M3]	Emit[Zn L3-M3]	Gen[Zn L3-M4]	Emit[Zn L3-M4]	Gen[Zn L3-M5]	Emit[Zn L3-M5]	Gen_I[C K-L2]	Emit_I[C K-L2]	Gen_I[C K-L3]	Emit_I[C K-L3]	Gen_I[O K-L2]	Emit_I[O K-L2]	Gen_I[O K-L3]	Emit_I[O K-L3]	Gen_I[Si K-L2]	Emit_I[Si K-L2]	Gen_I[Si K-L3]	Emit_I[Si K-L3]	Gen_I[Si K-M2]	Emit_I[Si K-M2]	Gen_I[Si K-M3]	Emit_I[Si K-M3]	Gen_I[Si L1-M2]	Emit_I[Si L1-M2]	Gen_I[Si L2-M1]	Emit_I[Si L2-M1]	Gen_I[Si L3-M1]	Emit_I[Si L3-M1]	Gen_I[P K-L2]	Emit_I[P K-L2]	Gen_I[P K-L3]	Emit_I[P K-L3]	Gen_I[P K-M2]	Emit_I[P K-M2]	Gen_I[P K-M3]	Emit_I[P K-M3]	Gen_I[P L1-M2]	Emit_I[P L1-M2]	Gen_I[P L1-M3]	Emit_I[P L1-M3]	Gen_I[P L2-M1]	Emit_I[P L2-M1]	Gen_I[P L3-M1]	Emit_I[P L3-M1]	Gen_I[S K-L2]	Emit_I[S K-L2]	Gen_I[S K-L3]	Emit_I[S K-L3]	Gen_I[S K-M2]	Emit_I[S K-M2]	Gen_I[S K-M3]	Emit_I[S K-M3]	Gen_I[S L1-M2]	Emit_I[S L1-M2]	Gen_I[S L1-M3]	Emit_I[S L1-M3]	Gen_I[S L2-M1]	Emit_I[S L2-M1]	Gen_I[S L3-M1]	Emit_I[S L3-M1]	Gen_I[Zn L1-M2]	Emit_I[Zn L1-M2]	Gen_I[Zn L1-M3]	Emit_I[Zn L1-M3]	Gen_I[Zn L1-M5]	Emit_I[Zn L1-M5]	Gen_I[Zn L2-M1]	Emit_I[Zn L2-M1]	Gen_I[Zn L2-M3]	Emit_I[Zn L2-M3]	Gen_I[Zn L2-M4]	Emit_I[Zn L2-M4]	Gen_I[Zn L2-N1]	Emit_I[Zn L2-N1]	Gen_I[Zn L3-M1]	Emit_I[Zn L3-M1]	Gen_I[Zn L3-M2]	Emit_I[Zn L3-M2]	Gen_I[Zn L3-M3]	Emit_I[Zn L3-M3]	Gen_I[Zn L3-M4]	Emit_I[Zn L3-M4]	Gen_I[Zn L3-M5]	Emit_I[Zn L3-M5]
4999.998	5000.009	1.351	1.324	1.351	1.325	1.305	1.288	1.305	1.288	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.148	1.147	1.148	1.147	1.148	1.147	1.148	1.147	1.389	1.333	1.389	1.333	10.771	10.473	11.092	10.785	1.125	1.124	1.125	1.124	1.125	1.124	1.125	1.124	1.379	1.339	1.379	1.339	10.358	10.062	167.659	162.874	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	199371.395	195390.025	397897.711	390199.692	84665.668	83525.667	168661.620	166390.634	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16464.449	16455.729	32626.888	32609.609	508.506	508.279	1008.143	1007.693	371.995	357.145	651.641	625.640	2131.657	2072.842	4028.254	3917.108	29592.749	29574.956	58588.442	58553.214	1380.287	1379.593	2733.349	2731.973	1294.228	1256.466	2178.773	2115.244	6203.632	6026.580	11822.142	11484.741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.009	5000.020	0.140	0.134	0.140	0.134	4.902	4.648	4.902	4.648	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.117	0.117	0.117	0.117	0.117	0.117	0.117	0.117	0.144	0.133	0.144	0.133	1.120	1.057	1.154	1.088	0.115	0.115	0.115	0.115	0.115	0.115	0.115	0.115	0.143	0.135	0.143	0.135	1.076	1.013	17.416	16.397	1.555	1.485	1.555	1.485	1.555	1.497	11.987	11.707	11.991	11.745	11.987	11.492	11.987	11.498	10.794	10.526	10.719	10.486	10.704	10.472	10.794	10.603	10.794	10.603	20661.390	19811.708	41235.202	39591.942	317910.942	301437.585	633307.167	600490.760	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1684.427	1682.572	3337.956	3334.281	52.024	51.975	103.140	103.044	38.674	35.521	67.748	62.227	221.691	209.139	418.953	395.233	3024.522	3020.741	5988.022	5980.535	141.072	140.924	279.361	279.069	134.414	126.369	226.280	212.746	644.473	606.737	1228.088	1156.178	29066.302	27766.216	46239.197	44170.997	154.261	148.512	39745.519	38819.037	1320.367	1293.348	428956.228	411254.743	9524.903	9136.165	80535.869	78535.880	1435.320	1404.118	1387.370	1357.210	77875.473	76492.093	825312.702	810651.838
5000.020	5000.031	0.000	0.000	0.000	0.000	5.977	5.391	5.977	5.391	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.916	1.688	1.916	1.688	1.916	1.725	14.821	14.102	14.826	14.192	14.821	13.243	14.821	13.260	13.353	12.666	13.260	12.658	13.242	12.642	13.353	12.855	13.353	12.855	0.000	0.000	0.000	0.000	387675.821	349640.537	772285.075	696515.372	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	35818.039	31570.082	56979.982	50222.256	190.093	171.184	49142.973	46760.350	1632.555	1562.700	530378.897	473917.744	11776.977	10536.578	99628.333	94496.179	1775.589	1695.076	1716.270	1638.448	96337.243	92740.271	1020967.794	982847.624
5000.031	5000.042	0.000	0.000	0.000	0.000	6.572	5.630	6.572	5.630	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.072	1.680	2.072	1.680	2.072	1.741	16.086	14.896	16.092	15.038	16.086	13.358	16.087	13.386	14.501	13.362	14.399	13.401	14.380	13.383	14.501	13.670	14.501	13.670	0.000	0.000	0.000	0.000	426240.391	365166.807	849109.164	727445.097	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	38749.426	31407.640	61643.285	49963.840	205.651	172.749	53338.557	49391.423	1771.935	1655.890	575660.030	478007.767	12782.438	10636.276	108187.675	99693.472	1928.136	1794.489	1863.719	1734.538	104613.838	98619.520	1108681.925	1045155.029
5000.042	5000.053	0.000	0.000	0.000	0.000	6.885	5.602	6.885	5.602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.138	1.593	2.138	1.593	2.138	1.675	16.652	15.004	16.657	15.195	16.652	12.845	16.652	12.882	15.017	13.443	14.912	13.528	14.892	13.510	15.017	13.862	15.017	13.862	0.000	0.000	0.000	0.000	446565.153	363330.063	889597.916	723786.138	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	39982.810	29789.418	63605.375	47389.543	212.197	166.214	55213.130	49749.454	1834.210	1673.235	595891.484	459653.895	13231.674	10236.356	112043.061	100292.761	1996.848	1811.549	1930.134	1751.027	108341.866	100005.705	1148191.015	1059845.615
5000.053	5000.064	0.883	0.379	0.883	0.388	5.452	4.235	5.452	4.235	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.579	0.525	0.579	0.525	0.579	0.533	0.579	0.533	0.946	0.175	0.946	0.175	7.327	0.456	7.548	0.470	0.547	0.511	0.547	0.511	0.547	0.517	0.547	0.517	0.929	0.269	0.929	0.270	6.968	0.720	112.633	11.637	1.424	0.989	1.424	0.989	1.424	1.052	11.117	9.791	11.121	9.943	11.117	8.064	11.117	8.093	10.030	8.764	9.959	8.845	9.946	8.833	10.030	9.097	10.030	9.097	130305.465	55934.900	260058.600	114197.244	353628.179	274680.443	704459.113	547188.128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8303.379	7538.126	16454.449	14937.979	256.451	236.086	508.428	468.056	253.421	46.758	443.930	81.967	1450.058	90.287	2741.335	170.688	14406.220	13451.558	28521.783	26631.720	671.946	634.255	1330.638	1256.007	871.794	252.931	1467.625	426.111	4173.105	431.153	7942.143	820.559	26616.012	18484.334	42341.231	29405.212	141.256	104.379	36861.260	32466.258	1224.551	1094.860	397827.676	288577.078	8833.699	6430.978	74832.122	65384.069	1333.669	1184.427	1289.111	1144.856	72360.141	65631.231	766862.032	695550.042
5000.064	5000.075	1.526	0.641	1.526	0.656	1.397	1.048	1.397	1.048	0.749	0.650	0.749	0.650	0.749	0.661	0.749	0.661	1.112	0.093	8.917	0.164	9.152	0.169	0.993	0.901	0.993	0.901	0.993	0.914	0.993	0.914	1.638	0.289	1.638	0.289	12.686	0.766	13.069	0.789	0.939	0.876	0.939	0.876	0.939	0.885	0.939	0.885	1.607	0.451	1.607	0.452	12.059	1.207	194.932	19.513	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	225254.874	94589.020	449554.955	193248.033	90575.859	67993.551	180435.251	135449.264	198887.415	172705.683	394625.808	342676.885	3390.487	2996.098	6726.706	5939.374	2806.829	235.307	18851.454	347.118	35556.794	654.719	14250.777	12929.928	28240.151	25622.681	440.137	404.988	872.596	802.916	438.725	77.425	768.536	135.729	2510.706	151.629	4746.558	286.659	24694.641	23043.067	48891.049	45621.222	1151.826	1086.622	2280.933	2151.821	1508.515	423.745	2539.514	713.895	7222.454	722.996	13745.248	1375.953	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.075	5000.085	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.798	1.560	1.798	1.560	1.798	1.587	1.798	1.586	2.713	0.168	21.776	0.393	22.351	0.403	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	477734.209	414426.217	947904.365	822290.747	8144.063	7190.418	16157.773	14253.982	6852.154	423.917	46037.510	831.090	86836.260	1567.607	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.085	5000.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.753	1.519	1.753	1.519	1.753	1.546	1.753	1.545	2.726	0.109	21.873	0.384	22.451	0.394	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	465869.878	403556.053	924363.554	800722.529	7941.809	7003.135	15756.502	13882.598	6883.196	274.873	46242.481	811.790	87225.272	1531.245	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.096	5000.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.732	1.498	1.732	1.498	1.732	1.525	1.732	1.524	2.722	0.070	21.837	0.373	22.414	0.383	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	460084.141	397974.962	912883.685	789648.713	7843.178	6907.580	15560.818	13693.056	6873.508	177.100	46167.142	788.116	87083.472	1486.596	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.107	5000.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.682	1.452	1.682	1.452	1.682	1.479	1.682	1.478	2.702	0.045	21.674	0.360	22.247	0.369	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	446795.148	385927.787	886516.108	765745.109	7616.637	6699.738	15111.362	13280.929	6822.807	113.383	45822.172	760.632	86434.408	1434.780	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.118	5000.129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.631	1.407	1.631	1.407	1.631	1.433	1.631	1.432	2.689	0.029	21.567	0.348	22.137	0.357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	433382.466	373807.008	859903.108	741695.461	7387.987	6490.540	14657.723	12866.124	6791.438	72.801	45594.302	735.962	86005.595	1388.262	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.129	5000.140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.580	1.361	1.580	1.361	1.580	1.387	1.580	1.385	2.664	0.018	21.363	0.335	21.928	0.344	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	419927.915	361684.391	833207.035	717642.167	7158.624	6281.231	14202.667	12451.104	6728.170	46.556	45164.074	708.932	85195.451	1337.296	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.140	5000.151	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.536	1.321	1.536	1.321	1.536	1.346	1.536	1.345	2.645	0.012	21.200	0.324	21.761	0.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	408139.115	351028.063	809816.089	696498.234	6957.657	6097.313	13803.950	12086.423	6678.329	29.817	44819.178	684.116	84545.866	1290.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.151	5000.162	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.487	1.277	1.487	1.277	1.487	1.302	1.487	1.301	2.620	0.008	21.002	0.312	21.559	0.320	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	395158.473	339378.154	784060.330	673382.872	6736.372	5896.064	13364.923	11687.392	6617.291	19.068	44401.815	659.065	83759.816	1243.264	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.162	5000.173	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.433	1.229	1.433	1.229	1.433	1.253	1.433	1.252	2.577	0.005	20.656	0.298	21.203	0.306	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	380883.240	326650.671	755735.887	648129.422	6493.019	5676.013	12882.111	11251.102	6506.326	12.097	43668.322	630.302	82378.201	1189.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.173	5000.184	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.356	1.161	1.356	1.161	1.356	1.184	1.356	1.183	2.512	0.003	20.144	0.283	20.679	0.290	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	360287.629	308544.949	714870.759	612204.649	6141.920	5362.411	12185.533	10629.381	6344.520	7.603	42586.947	597.701	80340.537	1127.566	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.184	5000.195	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.301	1.112	1.301	1.112	1.301	1.134	1.301	1.133	2.474	0.002	19.827	0.271	20.353	0.278	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	345606.968	295550.741	685741.878	586421.973	5891.655	5137.539	11689.008	10183.550	6247.476	4.835	41916.453	572.098	79076.356	1079.277	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
