t.nm, kC, kFe
0,0.00000,1.00000
5,0.06643,0.89609
10,0.07476,0.88332
15,0.08387,0.87004
20,0.09238,0.86191
22,0.09680,0.85288
25,0.10096,0.85215
30,0.11113,0.84493
35,0.12051,0.83038
40,0.13087,0.82544
