t.nm, kC, kFe
0,0.00000,1.00000
5,0.05038,0.88214
10,0.05678,0.84041
15,0.06215,0.81821
20,0.06807,0.78397
22,0.07070,0.76692
25,0.07417,0.74920
30,0.07996,0.72538
35,0.08623,0.69178
40,0.09331,0.65807
