tNm, kCKa, kCuLa
200.0, 0.57676, 0.49965
201.0, 0.54813, 0.50062
202.0, 0.52020, 0.54905
203.0, 0.63852, 0.45584
204.0, 0.56980, 0.45375
205.0, 0.54490, 0.50999
206.0, 0.58731, 0.48769
207.0, 0.60594, 0.47529
208.0, 0.57968, 0.50788
209.0, 0.56985, 0.49905
210.0, 0.52249, 0.50416
211.0, 0.56821, 0.50224
212.0, 0.53956, 0.52794
213.0, 0.57818, 0.50351
214.0, 0.55079, 0.52055
215.0, 0.59448, 0.48487
216.0, 0.60508, 0.48118
217.0, 0.51948, 0.52989
218.0, 0.55597, 0.49497
219.0, 0.56213, 0.48287
220.0, 0.53731, 0.50863
221.0, 0.59038, 0.42435
222.0, 0.60625, 0.44036
223.0, 0.62665, 0.44206
224.0, 0.59616, 0.49745
225.0, 0.61173, 0.43207
226.0, 0.63491, 0.45551
227.0, 0.58832, 0.44687
228.0, 0.56037, 0.50161
229.0, 0.57394, 0.48163
230.0, 0.63628, 0.42954
231.0, 0.58165, 0.47656
232.0, 0.68603, 0.40576
233.0, 0.59833, 0.47980
234.0, 0.62256, 0.44343
235.0, 0.63804, 0.42712
236.0, 0.58821, 0.46069
237.0, 0.59409, 0.47247
238.0, 0.61124, 0.47133
239.0, 0.61423, 0.42715
240.0, 0.68514, 0.38489
241.0, 0.61065, 0.44581
242.0, 0.66675, 0.38942
243.0, 0.69865, 0.37994
244.0, 0.56767, 0.46377
245.0, 0.63185, 0.41635
246.0, 0.70383, 0.38619
247.0, 0.60692, 0.43284
248.0, 0.65714, 0.38386
249.0, 0.63020, 0.43075
250.0, 0.65127, 0.41960
251.0, 0.65350, 0.38842
252.0, 0.68697, 0.35100
253.0, 0.67760, 0.39094
254.0, 0.69089, 0.36254
255.0, 0.73523, 0.33584
256.0, 0.68176, 0.36645
257.0, 0.62023, 0.40978
258.0, 0.68781, 0.38891
259.0, 0.67915, 0.36253
260.0, 0.74389, 0.34249
261.0, 0.72317, 0.34901
262.0, 0.66528, 0.36581
263.0, 0.69450, 0.37862
264.0, 0.70156, 0.33919
265.0, 0.68952, 0.37714
266.0, 0.68863, 0.37462
267.0, 0.66875, 0.37412
268.0, 0.69735, 0.34181
269.0, 0.70167, 0.32693
270.0, 0.66481, 0.38572
271.0, 0.73701, 0.30655
272.0, 0.70566, 0.34414
273.0, 0.62746, 0.36785
274.0, 0.68492, 0.34182
275.0, 0.68557, 0.36314
276.0, 0.72126, 0.32715
277.0, 0.68194, 0.33708
278.0, 0.68906, 0.37541
279.0, 0.72787, 0.31895
280.0, 0.69570, 0.34260
281.0, 0.71012, 0.32107
282.0, 0.70524, 0.35035
283.0, 0.73831, 0.30708
284.0, 0.75019, 0.30302
285.0, 0.70705, 0.32565
286.0, 0.73234, 0.33518
287.0, 0.74432, 0.29878
288.0, 0.77840, 0.26028
289.0, 0.72153, 0.30528
290.0, 0.76550, 0.28557
291.0, 0.71132, 0.30071
292.0, 0.74691, 0.29163
293.0, 0.79521, 0.28649
294.0, 0.69058, 0.35282
295.0, 0.74052, 0.29771
296.0, 0.78905, 0.27039
297.0, 0.73062, 0.30819
298.0, 0.73147, 0.30129
299.0, 0.73870, 0.30054
300.0, 0.75934, 0.29573
301.0, 0.75449, 0.27782
302.0, 0.78820, 0.25859
303.0, 0.75302, 0.28470
304.0, 0.82015, 0.22382
305.0, 0.75468, 0.29600
306.0, 0.81979, 0.25639
307.0, 0.79716, 0.24580
308.0, 0.77182, 0.29618
309.0, 0.74928, 0.27146
310.0, 0.76555, 0.26584
311.0, 0.75786, 0.29428
312.0, 0.82489, 0.22307
313.0, 0.74569, 0.27659
314.0, 0.82527, 0.23065
315.0, 0.76852, 0.27417
316.0, 0.79341, 0.23009
317.0, 0.72810, 0.27419
318.0, 0.80878, 0.25099
319.0, 0.78554, 0.24313
320.0, 0.76752, 0.25737
321.0, 0.78664, 0.24344
322.0, 0.79217, 0.22477
323.0, 0.77342, 0.23863
324.0, 0.83198, 0.22920
325.0, 0.79822, 0.22275
326.0, 0.77342, 0.25763
327.0, 0.82059, 0.20514
328.0, 0.80399, 0.25028
329.0, 0.81554, 0.22749
330.0, 0.84679, 0.21845
331.0, 0.81357, 0.22098
332.0, 0.76736, 0.25652
333.0, 0.80044, 0.21361
334.0, 0.80495, 0.21313
335.0, 0.77023, 0.23637
336.0, 0.77978, 0.24319
337.0, 0.85140, 0.18544
338.0, 0.78327, 0.23062
339.0, 0.79464, 0.22796
340.0, 0.80212, 0.21399
341.0, 0.84918, 0.17877
342.0, 0.83306, 0.17291
343.0, 0.85193, 0.17912
344.0, 0.81624, 0.19571
345.0, 0.81670, 0.20936
346.0, 0.83929, 0.18077
347.0, 0.81430, 0.18648
348.0, 0.80335, 0.22720
349.0, 0.84219, 0.18446
350.0, 0.82057, 0.20601
351.0, 0.88207, 0.16384
352.0, 0.85799, 0.16601
353.0, 0.84326, 0.19395
354.0, 0.80252, 0.22015
355.0, 0.84867, 0.18981
356.0, 0.83884, 0.17884
357.0, 0.84948, 0.17055
358.0, 0.85944, 0.16735
359.0, 0.86221, 0.17503
360.0, 0.87993, 0.15975
361.0, 0.82669, 0.19796
362.0, 0.84843, 0.18379
363.0, 0.83899, 0.17287
364.0, 0.87343, 0.15313
365.0, 0.83317, 0.19781
366.0, 0.90465, 0.14274
367.0, 0.88151, 0.16028
368.0, 0.88186, 0.14193
369.0, 0.84095, 0.15938
370.0, 0.86350, 0.15922
371.0, 0.88753, 0.13318
372.0, 0.81953, 0.17525
373.0, 0.83889, 0.16786
374.0, 0.87209, 0.15173
375.0, 0.89523, 0.12285
376.0, 0.89016, 0.12328
377.0, 0.90885, 0.12621
378.0, 0.86835, 0.14706
379.0, 0.85500, 0.15250
380.0, 0.89461, 0.12513
381.0, 0.89208, 0.14493
382.0, 0.90045, 0.13119
383.0, 0.91288, 0.11049
384.0, 0.87112, 0.14044
385.0, 0.91263, 0.12169
386.0, 0.87975, 0.15352
387.0, 0.86621, 0.13024
388.0, 0.88051, 0.14445
389.0, 0.90673, 0.12823
390.0, 0.92954, 0.11513
391.0, 0.90750, 0.11698
392.0, 0.86285, 0.15826
393.0, 0.89836, 0.11679
394.0, 0.90885, 0.12151
395.0, 0.89238, 0.11284
396.0, 0.89704, 0.11956
397.0, 0.90921, 0.11936
398.0, 0.85951, 0.14553
399.0, 0.90093, 0.09914
400.0, 0.84434, 0.13984
401.0, 0.87764, 0.13547
402.0, 0.90634, 0.09401
403.0, 0.86911, 0.10810
404.0, 0.92305, 0.10828
405.0, 0.90654, 0.11810
406.0, 0.90117, 0.10021
407.0, 0.92321, 0.09589
408.0, 0.91458, 0.10061
409.0, 0.91093, 0.08828
410.0, 0.92227, 0.10514
411.0, 0.89800, 0.11018
412.0, 0.95238, 0.07872
413.0, 0.96697, 0.08739
414.0, 0.93683, 0.08874
415.0, 0.94088, 0.10220
416.0, 0.95918, 0.08087
417.0, 0.91554, 0.08176
418.0, 0.94104, 0.08952
419.0, 0.92969, 0.07207
420.0, 0.98264, 0.06263
421.0, 0.94266, 0.07747
422.0, 0.93697, 0.07409
423.0, 0.92151, 0.08723
424.0, 0.99865, 0.05506
425.0, 0.94958, 0.07213
426.0, 0.96377, 0.08017
427.0, 0.94904, 0.06882
428.0, 0.89911, 0.07742
429.0, 0.95371, 0.09345
430.0, 0.92963, 0.07346
431.0, 0.94047, 0.05501
432.0, 0.95660, 0.05805
433.0, 0.93838, 0.07017
434.0, 0.93190, 0.07322
435.0, 0.91340, 0.06685
436.0, 0.96324, 0.07239
437.0, 0.93773, 0.08140
438.0, 0.94328, 0.05376
439.0, 0.95591, 0.06226
440.0, 0.99021, 0.05612
441.0, 0.94682, 0.05049
442.0, 0.97478, 0.06528
443.0, 0.97744, 0.05531
444.0, 0.99631, 0.04572
445.0, 0.95545, 0.06308
446.0, 0.96980, 0.05333
447.0, 0.95171, 0.06690
448.0, 0.99618, 0.05323
449.0, 0.96241, 0.06003
450.0, 0.98928, 0.05976
451.0, 0.98118, 0.04906
452.0, 1.00835, 0.04495
453.0, 0.92973, 0.05998
454.0, 0.99042, 0.03925
455.0, 0.99196, 0.03748
456.0, 1.00308, 0.05321
457.0, 0.96295, 0.04710
458.0, 1.00231, 0.04985
459.0, 0.97240, 0.04605
460.0, 0.99972, 0.05375
461.0, 0.96872, 0.04310
462.0, 0.97637, 0.04123
463.0, 0.97474, 0.03753
464.0, 0.98836, 0.03658
465.0, 0.99591, 0.03114
466.0, 1.01397, 0.03153
467.0, 0.98718, 0.03938
468.0, 1.00764, 0.03712
469.0, 0.96388, 0.04330
470.0, 0.98687, 0.04387
471.0, 0.98875, 0.03661
472.0, 0.99001, 0.02990
473.0, 0.97264, 0.03004
474.0, 0.97287, 0.03005
475.0, 0.98592, 0.03804
476.0, 1.00973, 0.02077
477.0, 1.01453, 0.03885
478.0, 0.98198, 0.02216
479.0, 1.01115, 0.02149
480.0, 0.97826, 0.03075
481.0, 0.97708, 0.03252
482.0, 0.96819, 0.03277
483.0, 1.01430, 0.03093
484.0, 1.01085, 0.01937
485.0, 1.00004, 0.02600
486.0, 1.04879, 0.02069
487.0, 0.99591, 0.02419
488.0, 1.00772, 0.02447
489.0, 1.01222, 0.02419
490.0, 1.04085, 0.02396
491.0, 0.99287, 0.02348
492.0, 1.00615, 0.02908
493.0, 1.02392, 0.01753
494.0, 1.00021, 0.02106
495.0, 1.00115, 0.02454
496.0, 0.98806, 0.02531
497.0, 1.05119, 0.01956
498.0, 1.05175, 0.01274
499.0, 1.01398, 0.01133
500.0, 1.05234, 0.01510
