tNm, kCKa, kCuLa
1.0, 0.00216, 1.05363
2.0, 0.00335, 0.99001
3.0, 0.00391, 1.03921
4.0, 0.00486, 0.95038
5.0, 0.00538, 0.94311
6.0, 0.00664, 1.02932
7.0, 0.00810, 0.96868
8.0, 0.00858, 1.02170
9.0, 0.01031, 0.95258
10.0, 0.00968, 1.01053
11.0, 0.01056, 1.00165
12.0, 0.01186, 0.92975
13.0, 0.01652, 1.00982
14.0, 0.01157, 1.06116
15.0, 0.01596, 1.01069
16.0, 0.01495, 0.92747
17.0, 0.01770, 1.00659
18.0, 0.01637, 0.93367
19.0, 0.02028, 0.97213
20.0, 0.01813, 0.93993
21.0, 0.01868, 0.97493
22.0, 0.02483, 0.98793
23.0, 0.02120, 1.01647
24.0, 0.02523, 0.94828
25.0, 0.02313, 1.02078
26.0, 0.02608, 0.97742
27.0, 0.02698, 1.01722
28.0, 0.03350, 0.88162
29.0, 0.02767, 1.01085
30.0, 0.02461, 0.98327
31.0, 0.03171, 0.96945
32.0, 0.03428, 0.96134
33.0, 0.03410, 0.97003
34.0, 0.03469, 0.91485
35.0, 0.03031, 0.93884
36.0, 0.03461, 0.95810
37.0, 0.02866, 0.98076
38.0, 0.03293, 0.89698
39.0, 0.03726, 1.01767
40.0, 0.03392, 0.96957
41.0, 0.03713, 0.90923
42.0, 0.03834, 0.99057
43.0, 0.04152, 0.97777
44.0, 0.04367, 0.91434
45.0, 0.04762, 0.96897
46.0, 0.04503, 0.96781
47.0, 0.04445, 0.88997
48.0, 0.04360, 0.94297
49.0, 0.05034, 0.91728
50.0, 0.04344, 1.05791
51.0, 0.04734, 0.98538
52.0, 0.04908, 0.93799
53.0, 0.05275, 1.00673
54.0, 0.04783, 1.01096
55.0, 0.04531, 0.93219
56.0, 0.05065, 0.98228
57.0, 0.06364, 0.95243
58.0, 0.05306, 0.99235
59.0, 0.05504, 0.97814
60.0, 0.05029, 0.94268
61.0, 0.06452, 0.94907
62.0, 0.04951, 0.99161
63.0, 0.06077, 0.92439
64.0, 0.06397, 0.91936
65.0, 0.05754, 0.93197
66.0, 0.06342, 0.94821
67.0, 0.08497, 1.01018
68.0, 0.07776, 0.94834
69.0, 0.07058, 0.93757
70.0, 0.07116, 0.93188
71.0, 0.06140, 0.95657
72.0, 0.06345, 0.88447
73.0, 0.06133, 0.89563
74.0, 0.06576, 0.99286
75.0, 0.06866, 0.93226
76.0, 0.07079, 0.91952
77.0, 0.07370, 0.92002
78.0, 0.06901, 0.78821
79.0, 0.07112, 0.95499
80.0, 0.07807, 0.96778
81.0, 0.07274, 0.88077
82.0, 0.08016, 0.91504
83.0, 0.06298, 0.94957
84.0, 0.09252, 0.93552
85.0, 0.08291, 0.92291
86.0, 0.09222, 0.94692
87.0, 0.10117, 0.85942
88.0, 0.10987, 0.95049
89.0, 0.07645, 0.94359
90.0, 0.08485, 0.96740
91.0, 0.08206, 0.90133
92.0, 0.08735, 0.89205
93.0, 0.09960, 0.92078
94.0, 0.09563, 0.95529
95.0, 0.10888, 0.91334
96.0, 0.08282, 0.91604
97.0, 0.10139, 0.85123
98.0, 0.08772, 0.99489
99.0, 0.07793, 0.92607
100.0, 0.09203, 0.90778
101.0, 0.09086, 0.92372
102.0, 0.11815, 0.87692
103.0, 0.11495, 0.94515
104.0, 0.09986, 0.89261
105.0, 0.10413, 0.87028
106.0, 0.10233, 0.86972
107.0, 0.09540, 0.91306
108.0, 0.10229, 1.01777
109.0, 0.10923, 0.91509
110.0, 0.11584, 0.92093
111.0, 0.12969, 0.84192
112.0, 0.10331, 0.86518
113.0, 0.10555, 0.90289
114.0, 0.11278, 0.96866
115.0, 0.09892, 0.86924
116.0, 0.11765, 0.90263
117.0, 0.10755, 0.95361
118.0, 0.11328, 0.85987
119.0, 0.11094, 0.80398
120.0, 0.14234, 0.85509
121.0, 0.11303, 0.94416
122.0, 0.12744, 0.90904
123.0, 0.10968, 0.91289
124.0, 0.13172, 0.87400
125.0, 0.13743, 0.84051
126.0, 0.10122, 0.96594
127.0, 0.11784, 0.89369
128.0, 0.14281, 0.84921
129.0, 0.13954, 0.85020
130.0, 0.12043, 0.83929
131.0, 0.15016, 0.80126
132.0, 0.12950, 0.89738
133.0, 0.10307, 0.88669
134.0, 0.10776, 0.99635
135.0, 0.12183, 0.86206
136.0, 0.12656, 0.87912
137.0, 0.12734, 0.86066
138.0, 0.12567, 0.85653
139.0, 0.11610, 0.90579
140.0, 0.14250, 0.86186
141.0, 0.14126, 0.86690
142.0, 0.11588, 0.85331
143.0, 0.14460, 0.90006
144.0, 0.12649, 0.88054
145.0, 0.14100, 0.91429
146.0, 0.14268, 0.88887
147.0, 0.14045, 0.87185
148.0, 0.14401, 0.84260
149.0, 0.15730, 0.84521
150.0, 0.11539, 0.83768
151.0, 0.13716, 0.89243
152.0, 0.14262, 0.84648
153.0, 0.17441, 0.85107
154.0, 0.16386, 0.83201
155.0, 0.13217, 0.91651
156.0, 0.14848, 0.82948
157.0, 0.16760, 0.82442
158.0, 0.15106, 0.88796
159.0, 0.17057, 0.80295
160.0, 0.15046, 0.79383
161.0, 0.14976, 0.90973
162.0, 0.13877, 0.84339
163.0, 0.15805, 0.88315
164.0, 0.14941, 0.87549
165.0, 0.18436, 0.87369
166.0, 0.18180, 0.83134
167.0, 0.17598, 0.86426
