tNm, kCKa, kCuLa
1.0, 0.00463, 1.01342
2.0, 0.00523, 1.02468
3.0, 0.00700, 0.96845
4.0, 0.00801, 0.94228
5.0, 0.01038, 0.94862
6.0, 0.01244, 0.91204
7.0, 0.01461, 0.95465
8.0, 0.01519, 0.93014
9.0, 0.01557, 0.98579
10.0, 0.01661, 0.99985
11.0, 0.02130, 0.96271
12.0, 0.01867, 0.99166
13.0, 0.02293, 0.95479
14.0, 0.02639, 1.02462
15.0, 0.03057, 0.96697
16.0, 0.02897, 0.94107
17.0, 0.03363, 0.95200
18.0, 0.03131, 0.99762
19.0, 0.03089, 0.93015
20.0, 0.03432, 0.93956
21.0, 0.03277, 0.95119
22.0, 0.03569, 1.00215
23.0, 0.04297, 0.95389
24.0, 0.03913, 1.00028
25.0, 0.04351, 1.01769
26.0, 0.03788, 0.93819
27.0, 0.04187, 0.94317
28.0, 0.05179, 0.95911
29.0, 0.04531, 0.92456
30.0, 0.04815, 0.93665
31.0, 0.04366, 0.97849
32.0, 0.04815, 0.97164
33.0, 0.06699, 0.93299
34.0, 0.05636, 0.93118
35.0, 0.05547, 0.92610
36.0, 0.05916, 0.88564
37.0, 0.05620, 0.94854
38.0, 0.06405, 0.98163
39.0, 0.05882, 0.93434
40.0, 0.07035, 0.90970
41.0, 0.06926, 0.95205
42.0, 0.07248, 0.94506
43.0, 0.06357, 0.98925
44.0, 0.06315, 0.99398
45.0, 0.06580, 0.98410
46.0, 0.07437, 0.99165
47.0, 0.07922, 0.95519
48.0, 0.08498, 0.92754
49.0, 0.07758, 0.95730
50.0, 0.08679, 0.89620
51.0, 0.08179, 1.00570
52.0, 0.10385, 0.93885
53.0, 0.09279, 0.90810
54.0, 0.09115, 0.92104
55.0, 0.08283, 0.90471
56.0, 0.08685, 0.88840
57.0, 0.11656, 0.87484
58.0, 0.08035, 0.93312
59.0, 0.09228, 0.89431
60.0, 0.13166, 0.85498
61.0, 0.10298, 0.91366
62.0, 0.08684, 0.91945
63.0, 0.11408, 0.87807
64.0, 0.09592, 0.91613
65.0, 0.10968, 0.88044
66.0, 0.12153, 0.94359
67.0, 0.10245, 0.93984
68.0, 0.11320, 0.89079
69.0, 0.11832, 0.86532
70.0, 0.12943, 0.87791
71.0, 0.15131, 0.85193
72.0, 0.11432, 0.89880
73.0, 0.13866, 0.85369
74.0, 0.12701, 0.81368
75.0, 0.11703, 0.89740
76.0, 0.10338, 0.90373
77.0, 0.11701, 0.87857
78.0, 0.12923, 0.92904
79.0, 0.15214, 0.88219
80.0, 0.14460, 0.90792
81.0, 0.13344, 0.87812
82.0, 0.15794, 0.77356
83.0, 0.14864, 0.83904
84.0, 0.14418, 0.89594
85.0, 0.13735, 0.88359
86.0, 0.15344, 0.85528
87.0, 0.15839, 0.82650
88.0, 0.15148, 0.85912
89.0, 0.13159, 0.87767
90.0, 0.14856, 0.87331
91.0, 0.13516, 0.85057
92.0, 0.14588, 0.85954
93.0, 0.15027, 0.85357
94.0, 0.16701, 0.84523
95.0, 0.14149, 0.86794
96.0, 0.19485, 0.83248
97.0, 0.14881, 0.81833
98.0, 0.17002, 0.89290
99.0, 0.16471, 0.88348
100.0, 0.16091, 0.89734
101.0, 0.15333, 0.84737
102.0, 0.17484, 0.92516
103.0, 0.20971, 0.81271
104.0, 0.19575, 0.85755
105.0, 0.18225, 0.77259
106.0, 0.18269, 0.84929
107.0, 0.16324, 0.88855
108.0, 0.16586, 0.81034
109.0, 0.18561, 0.83524
110.0, 0.19986, 0.80027
111.0, 0.19625, 0.81894
112.0, 0.18795, 0.82589
113.0, 0.17835, 0.85061
114.0, 0.16901, 0.88590
115.0, 0.20581, 0.80010
116.0, 0.19858, 0.80919
117.0, 0.20898, 0.82155
118.0, 0.19399, 0.83565
119.0, 0.18241, 0.86205
120.0, 0.23470, 0.84716
121.0, 0.23605, 0.75825
122.0, 0.19185, 0.89501
123.0, 0.19509, 0.87218
124.0, 0.18908, 0.81283
125.0, 0.19713, 0.83547
