tNm, kCKa, kCuLa
1.0, 0.00281, 0.87643
2.0, 0.00333, 0.93138
3.0, 0.00528, 0.91614
4.0, 0.00593, 0.86205
5.0, 0.00639, 0.89707
6.0, 0.00742, 0.89551
7.0, 0.00889, 0.86222
8.0, 0.00884, 0.94102
9.0, 0.01052, 0.85421
10.0, 0.01348, 0.87405
11.0, 0.01398, 0.90902
12.0, 0.01497, 0.84548
13.0, 0.01750, 0.89364
14.0, 0.01684, 0.91035
15.0, 0.01879, 0.89244
16.0, 0.01990, 0.82678
17.0, 0.02238, 0.95241
18.0, 0.02123, 0.87709
19.0, 0.02123, 0.92619
20.0, 0.02338, 0.85287
21.0, 0.01815, 0.97769
22.0, 0.02731, 0.85221
23.0, 0.02531, 0.86679
24.0, 0.02248, 0.86122
25.0, 0.02427, 0.90071
26.0, 0.02603, 0.83433
27.0, 0.03346, 0.85130
28.0, 0.02886, 0.84900
29.0, 0.03110, 0.89187
30.0, 0.02983, 0.90498
31.0, 0.03026, 0.85619
32.0, 0.03560, 0.84708
33.0, 0.03755, 0.88390
34.0, 0.03764, 0.90683
35.0, 0.03159, 0.84110
36.0, 0.03838, 0.90013
37.0, 0.04122, 0.79905
38.0, 0.03623, 0.93273
39.0, 0.04206, 0.97177
40.0, 0.05061, 0.85687
41.0, 0.04490, 0.81417
42.0, 0.04684, 0.85338
43.0, 0.04835, 0.83176
44.0, 0.04415, 0.89506
45.0, 0.06362, 0.87257
46.0, 0.04022, 0.87464
47.0, 0.06153, 0.86074
48.0, 0.05234, 0.79750
49.0, 0.05653, 0.87944
50.0, 0.05249, 0.83478
51.0, 0.05786, 0.86157
52.0, 0.04670, 0.85705
53.0, 0.05507, 0.82757
54.0, 0.05999, 0.84905
55.0, 0.05691, 0.83241
56.0, 0.05938, 0.86377
57.0, 0.06038, 0.84803
58.0, 0.06020, 0.80948
59.0, 0.05455, 0.84053
60.0, 0.06022, 0.86976
61.0, 0.07659, 0.86637
62.0, 0.05659, 0.85449
63.0, 0.06033, 0.82508
64.0, 0.07244, 0.82982
65.0, 0.07249, 0.82589
66.0, 0.06793, 0.82415
67.0, 0.06299, 0.85437
68.0, 0.07519, 0.78042
69.0, 0.08219, 0.83773
70.0, 0.06709, 0.78444
71.0, 0.07712, 0.81869
72.0, 0.08335, 0.86020
73.0, 0.07980, 0.77972
74.0, 0.09190, 0.85957
75.0, 0.07756, 0.83046
76.0, 0.08116, 0.82809
77.0, 0.08948, 0.80633
78.0, 0.06716, 0.83414
79.0, 0.07500, 0.91092
80.0, 0.08478, 0.83481
81.0, 0.07574, 0.84865
82.0, 0.09100, 0.83565
83.0, 0.07885, 0.79742
84.0, 0.09506, 0.83607
85.0, 0.08927, 0.84750
86.0, 0.08626, 0.85875
87.0, 0.09310, 0.85520
88.0, 0.10076, 0.82806
89.0, 0.08509, 0.82816
90.0, 0.10227, 0.79199
91.0, 0.09957, 0.80655
92.0, 0.10316, 0.80864
93.0, 0.10006, 0.81591
94.0, 0.09962, 0.80932
95.0, 0.10303, 0.80691
96.0, 0.09915, 0.82089
97.0, 0.09889, 0.77996
98.0, 0.10450, 0.80948
99.0, 0.10713, 0.78316
100.0, 0.09104, 0.77633
101.0, 0.10287, 0.83555
102.0, 0.11120, 0.77725
103.0, 0.10288, 0.80839
104.0, 0.11824, 0.74695
105.0, 0.10511, 0.77538
106.0, 0.11812, 0.80245
107.0, 0.09898, 0.86095
108.0, 0.12134, 0.84442
109.0, 0.10500, 0.77302
110.0, 0.12549, 0.81357
111.0, 0.12333, 0.83079
112.0, 0.12583, 0.84100
113.0, 0.15531, 0.76368
114.0, 0.12086, 0.79491
115.0, 0.10366, 0.79930
116.0, 0.13905, 0.74976
117.0, 0.13198, 0.84217
118.0, 0.12977, 0.79143
119.0, 0.12770, 0.82782
120.0, 0.13905, 0.79666
121.0, 0.11817, 0.82504
122.0, 0.12814, 0.82295
123.0, 0.12996, 0.80342
124.0, 0.12404, 0.75477
125.0, 0.12281, 0.76696
126.0, 0.13969, 0.79786
127.0, 0.15502, 0.76859
128.0, 0.12982, 0.83609
129.0, 0.12466, 0.76454
130.0, 0.13769, 0.76840
131.0, 0.13636, 0.81012
132.0, 0.13249, 0.80230
133.0, 0.13488, 0.77956
134.0, 0.14436, 0.74305
135.0, 0.14000, 0.78272
136.0, 0.14031, 0.77551
137.0, 0.14855, 0.82009
138.0, 0.15639, 0.76415
139.0, 0.15479, 0.76688
140.0, 0.14571, 0.75364
141.0, 0.12703, 0.78739
142.0, 0.15492, 0.76368
143.0, 0.18822, 0.72018
144.0, 0.14688, 0.79590
145.0, 0.14747, 0.78735
146.0, 0.17931, 0.75152
147.0, 0.12249, 0.78933
148.0, 0.16605, 0.78854
149.0, 0.17607, 0.73597
150.0, 0.16784, 0.76894
151.0, 0.14025, 0.72564
152.0, 0.16294, 0.70656
153.0, 0.18597, 0.75129
154.0, 0.16271, 0.72223
155.0, 0.15898, 0.81605
156.0, 0.16940, 0.75116
157.0, 0.17756, 0.78787
158.0, 0.15679, 0.76009
159.0, 0.16749, 0.76375
160.0, 0.18318, 0.73029
161.0, 0.16022, 0.80307
162.0, 0.17120, 0.81822
163.0, 0.15207, 0.76557
164.0, 0.14966, 0.74217
165.0, 0.17244, 0.72038
166.0, 0.22251, 0.75643
167.0, 0.17342, 0.78853
168.0, 0.18264, 0.74624
169.0, 0.18596, 0.74629
170.0, 0.18011, 0.74987
171.0, 0.19528, 0.69134
172.0, 0.17226, 0.74087
173.0, 0.17656, 0.71104
174.0, 0.18222, 0.72431
175.0, 0.20117, 0.76167
176.0, 0.20720, 0.68158
177.0, 0.22478, 0.70584
178.0, 0.18238, 0.74914
179.0, 0.20101, 0.79826
180.0, 0.20072, 0.77517
181.0, 0.21791, 0.69043
182.0, 0.20503, 0.74728
183.0, 0.19679, 0.75105
184.0, 0.23161, 0.70197
185.0, 0.18936, 0.75503
186.0, 0.18639, 0.77735
187.0, 0.20627, 0.73251
188.0, 0.20208, 0.75275
189.0, 0.19805, 0.73740
190.0, 0.18716, 0.69436
191.0, 0.20078, 0.73343
192.0, 0.24279, 0.69024
193.0, 0.20424, 0.70300
194.0, 0.19684, 0.72924
195.0, 0.22428, 0.73540
196.0, 0.21717, 0.74762
197.0, 0.22257, 0.73940
198.0, 0.20422, 0.73179
199.0, 0.19579, 0.75280
200.0, 0.21532, 0.68236
201.0, 0.20046, 0.75484
202.0, 0.24087, 0.71710
203.0, 0.26346, 0.67969
204.0, 0.22489, 0.70712
205.0, 0.24942, 0.63741
206.0, 0.23403, 0.75199
207.0, 0.21783, 0.70504
208.0, 0.24123, 0.71072
209.0, 0.23166, 0.66439
210.0, 0.22140, 0.75207
211.0, 0.24324, 0.69463
212.0, 0.22380, 0.73996
213.0, 0.21136, 0.74209
214.0, 0.21825, 0.72589
215.0, 0.21092, 0.74294
216.0, 0.21844, 0.70698
217.0, 0.21633, 0.69256
218.0, 0.23908, 0.73573
219.0, 0.25833, 0.71295
220.0, 0.27617, 0.64222
221.0, 0.20574, 0.67549
222.0, 0.26915, 0.72889
223.0, 0.25513, 0.71665
224.0, 0.22001, 0.73521
225.0, 0.22628, 0.71047
226.0, 0.23009, 0.64850
227.0, 0.24972, 0.73932
228.0, 0.25894, 0.62553
229.0, 0.18945, 0.70259
230.0, 0.26139, 0.66884
231.0, 0.22917, 0.69689
232.0, 0.23492, 0.67840
233.0, 0.25171, 0.68411
234.0, 0.26717, 0.63857
235.0, 0.25308, 0.72367
236.0, 0.19855, 0.72117
237.0, 0.25738, 0.70836
238.0, 0.27056, 0.75769
239.0, 0.27322, 0.68287
240.0, 0.27258, 0.63167
241.0, 0.26473, 0.69060
242.0, 0.24173, 0.70589
243.0, 0.24662, 0.70985
244.0, 0.25595, 0.68340
245.0, 0.26078, 0.62930
246.0, 0.25246, 0.68739
247.0, 0.25556, 0.69596
248.0, 0.26425, 0.70970
249.0, 0.25503, 0.65309
250.0, 0.28142, 0.67862
251.0, 0.25318, 0.68581
252.0, 0.28202, 0.64705
253.0, 0.26075, 0.67828
254.0, 0.25149, 0.63783
255.0, 0.25130, 0.71026
256.0, 0.26096, 0.69308
257.0, 0.30077, 0.66262
258.0, 0.34727, 0.64066
259.0, 0.27542, 0.71501
260.0, 0.30292, 0.66259
261.0, 0.26906, 0.69420
262.0, 0.30507, 0.64303
263.0, 0.28848, 0.56665
264.0, 0.26236, 0.70843
265.0, 0.32168, 0.65182
266.0, 0.29226, 0.63162
267.0, 0.34131, 0.68593
268.0, 0.26868, 0.69546
269.0, 0.28362, 0.68463
270.0, 0.24869, 0.69108
271.0, 0.32719, 0.62156
272.0, 0.23237, 0.68823
273.0, 0.29971, 0.65412
274.0, 0.31986, 0.64320
275.0, 0.32614, 0.61262
276.0, 0.33046, 0.66993
277.0, 0.29034, 0.66217
278.0, 0.25798, 0.70528
279.0, 0.31831, 0.66685
280.0, 0.24648, 0.63535
281.0, 0.30666, 0.67352
282.0, 0.32083, 0.59301
283.0, 0.26898, 0.69269
284.0, 0.32589, 0.62168
285.0, 0.30263, 0.63927
286.0, 0.25688, 0.71275
287.0, 0.32817, 0.59668
288.0, 0.32078, 0.62933
289.0, 0.37813, 0.64012
290.0, 0.32448, 0.65406
291.0, 0.26719, 0.64433
292.0, 0.31961, 0.62192
293.0, 0.33427, 0.59122
294.0, 0.28589, 0.64803
295.0, 0.33735, 0.65790
296.0, 0.31809, 0.63118
297.0, 0.31171, 0.60827
298.0, 0.29147, 0.63234
299.0, 0.36027, 0.61502
300.0, 0.35598, 0.62290
301.0, 0.30820, 0.61450
302.0, 0.39114, 0.63273
303.0, 0.35120, 0.62396
304.0, 0.31415, 0.63913
305.0, 0.33662, 0.65456
306.0, 0.31806, 0.65457
307.0, 0.33147, 0.65050
