t.nm, kC, kFe
0,0.00000,1.00000
5,0.04110,0.89854
10,0.04534,0.89260
15,0.04941,0.88051
20,0.05363,0.86866
22,0.05579,0.87185
25,0.05868,0.86534
30,0.06218,0.85758
35,0.06677,0.84803
40,0.07111,0.84025
