t.nm, kC, kFe
0,0.00000,1.00000
5,0.11252,0.87149
10,0.14220,0.85069
15,0.17216,0.81743
20,0.20372,0.78625
22,0.21588,0.77412
25,0.23531,0.75717
30,0.26490,0.73218
35,0.29777,0.69603
40,0.32859,0.66880
