t.nm, kC, kFe
0,0.00000,1.00000
5,0.04060,0.87768
10,0.04467,0.87019
15,0.04955,0.86329
20,0.05385,0.86186
22,0.05552,0.85504
25,0.05807,0.85071
30,0.06237,0.84884
35,0.06694,0.83652
40,0.07203,0.83394
