t.nm, kC, kFe
0,0.00000,1.00000
5,0.04519,0.88197
10,0.04985,0.87483
15,0.05464,0.86444
20,0.06029,0.86860
22,0.06168,0.85760
25,0.06428,0.84987
30,0.06985,0.84830
35,0.07519,0.84219
40,0.07942,0.83651
