t.nm, kC, kFe
0,0.00000,1.00000
5,0.05798,0.00000
10,0.06490,0.00000
15,0.07153,0.00000
20,0.07937,0.00000
22,0.08135,0.00000
25,0.08660,0.00000
30,0.09342,0.00000
35,0.10139,0.00000
40,0.10765,0.00000
