t.nm, kC, kFe
0,0.00000,1.00000
5,0.15719,0.82911
10,0.21968,0.76747
15,0.28280,0.69662
20,0.34734,0.62840
22,0.37432,0.60453
25,0.41517,0.55742
30,0.47367,0.49225
35,0.52758,0.42685
40,0.58218,0.35724
