t.nm, kC, kFe
0,0.00000,1.00000
5,0.09165,0.89216
10,0.10940,0.87298
15,0.12638,0.85778
20,0.14467,0.84086
22,0.15231,0.82947
25,0.16347,0.82125
30,0.18452,0.79871
35,0.20418,0.78234
40,0.22055,0.76912
