t.nm, kC, kFe
0,0.00000,1.00000
5,0.07677,0.89698
10,0.08903,0.88528
15,0.10013,0.87014
20,0.11289,0.86275
22,0.11788,0.85613
25,0.12607,0.85065
30,0.13813,0.82921
35,0.15097,0.82045
40,0.16545,0.81052
