tNm, kAuLaMu, kAuLaStd, kCuKaMu, kCuKaStd
10.0, 0.10870, 0.00333, 0.91012, 0.00151
20.0, 0.23088, 0.00390, 0.82892, 0.00145
30.0, 0.34950, 0.00438, 0.74447, 0.00139
40.0, 0.46081, 0.00480, 0.66160, 0.00133
50.0, 0.55332, 0.00514, 0.58798, 0.00127
60.0, 0.65018, 0.00549, 0.51385, 0.00122
70.0, 0.71706, 0.00575, 0.45697, 0.00117
80.0, 0.78486, 0.00596, 0.40673, 0.00112
90.0, 0.84303, 0.00617, 0.35150, 0.00108
100.0, 0.86952, 0.00630, 0.31178, 0.00104
110.0, 0.90253, 0.00641, 0.27705, 0.00100
120.0, 0.91395, 0.00648, 0.23798, 0.00097
130.0, 0.93237, 0.00658, 0.22083, 0.00095
140.0, 0.93805, 0.00665, 0.20079, 0.00093
150.0, 0.93916, 0.00668, 0.17983, 0.00090
160.0, 0.94551, 0.00671, 0.16487, 0.00089
170.0, 0.94650, 0.00673, 0.15479, 0.00088
180.0, 0.95041, 0.00677, 0.14406, 0.00087
190.0, 0.96137, 0.00679, 0.13833, 0.00086
200.0, 0.94496, 0.00678, 0.13355, 0.00085
210.0, 0.96455, 0.00682, 0.12499, 0.00084
220.0, 0.97350, 0.00681, 0.12085, 0.00084
230.0, 0.93925, 0.00680, 0.12069, 0.00083
240.0, 0.95791, 0.00684, 0.11702, 0.00083
250.0, 0.96523, 0.00683, 0.11192, 0.00083
260.0, 0.97625, 0.00685, 0.11349, 0.00083
270.0, 0.97348, 0.00685, 0.11100, 0.00083
280.0, 0.95439, 0.00681, 0.10526, 0.00082
290.0, 0.95863, 0.00685, 0.10701, 0.00082
300.0, 0.93444, 0.00682, 0.10516, 0.00082
