t.nm, kC, kFe
0,0.00000,1.00000
5,0.05073,0.89111
10,0.05574,0.87747
15,0.06173,0.87367
20,0.06834,0.86739
22,0.07028,0.86704
25,0.07355,0.85980
30,0.07961,0.84864
35,0.08597,0.84574
40,0.09278,0.83735
