t.nm, kC, kFe
0,0.00000,1.00000
5,0.04487,0.89182
10,0.05001,0.88133
15,0.05529,0.86248
20,0.05999,0.85170
22,0.06213,0.84658
25,0.06461,0.83994
30,0.07023,0.82945
35,0.07549,0.81097
40,0.08003,0.79893
