Idx,rhoz(mg/cm^2),G(O K-L3),E(O K-L3),G(Mg K-L3),E(Mg K-L3),G(Al K-L3),E(Al K-L3),G(Al K-M3),E(Al K-M3),G(P K-L3),E(P K-L3),G(P K-M3),E(P K-M3)
25,0.00666176,1.55922,1.48316,1.49115,1.4625,1.48275,1.4603,1.48275,1.46283,1.47109,1.45911,1.47109,1.46093
26,0.00692823,1.57022,1.49064,1.49986,1.46989,1.49124,1.46776,1.49124,1.47041,1.47936,1.46683,1.47936,1.46873
27,0.0071947,1.58114,1.49801,1.50848,1.4772,1.49964,1.47513,1.49964,1.47789,1.48751,1.47444,1.48751,1.47642
28,0.00746117,1.59198,1.50527,1.51703,1.48441,1.50796,1.48241,1.50796,1.48529,1.49556,1.48193,1.49556,1.484
29,0.00772764,1.60275,1.51242,1.5255,1.49154,1.51619,1.4896,1.51619,1.49259,1.50349,1.4893,1.50349,1.49146
30,0.00799411,1.61345,1.51947,1.53389,1.49858,1.52434,1.49669,1.52434,1.4998,1.51132,1.49656,1.51132,1.4988
31,0.00826058,1.62406,1.52641,1.5422,1.50553,1.5324,1.50369,1.5324,1.50692,1.51903,1.50371,1.51903,1.50604
32,0.00852705,1.63461,1.53325,1.55043,1.5124,1.54038,1.51059,1.54038,1.51394,1.52664,1.51074,1.52664,1.51315
33,0.00879352,1.64507,1.53998,1.55859,1.51917,1.54827,1.51741,1.54827,1.52088,1.53413,1.51766,1.53413,1.52016
34,0.00905999,1.65546,1.54661,1.56667,1.52586,1.55608,1.52413,1.55608,1.52772,1.54151,1.52446,1.54151,1.52705
35,0.00932646,1.66577,1.55313,1.57467,1.53246,1.5638,1.53076,1.5638,1.53447,1.54878,1.53115,1.54878,1.53383
36,0.00959293,1.67601,1.55956,1.58259,1.53898,1.57144,1.5373,1.57144,1.54113,1.55594,1.53773,1.55594,1.54049
37,0.0098594,1.68617,1.56588,1.59043,1.5454,1.579,1.54374,1.579,1.5477,1.56299,1.54419,1.56299,1.54704
38,0.0101259,1.69626,1.57209,1.59819,1.55174,1.58646,1.5501,1.58646,1.55418,1.56993,1.55054,1.56993,1.55348
39,0.0103923,1.70627,1.57821,1.60588,1.558,1.59385,1.55636,1.59385,1.56057,1.57675,1.55677,1.57675,1.5598
40,0.0106588,1.7162,1.58423,1.61349,1.56416,1.60114,1.56253,1.60114,1.56687,1.58347,1.56289,1.58347,1.56601
41,0.0109253,1.72606,1.59014,1.62102,1.57024,1.60835,1.56861,1.60835,1.57307,1.59007,1.5689,1.59007,1.57211
42,0.0111918,1.73584,1.59596,1.62847,1.57624,1.61548,1.5746,1.61548,1.57919,1.59657,1.57479,1.59657,1.57809
43,0.0114582,1.74554,1.60167,1.63584,1.58214,1.62252,1.5805,1.62252,1.58521,1.60295,1.58057,1.60295,1.58396
44,0.0117247,1.75517,1.60729,1.64314,1.58797,1.62948,1.58631,1.62948,1.59115,1.60923,1.58624,1.60923,1.58972
45,0.0119912,1.76473,1.61281,1.65035,1.5937,1.63635,1.59203,1.63635,1.597,1.61539,1.59179,1.61539,1.59536
46,0.0122576,1.7742,1.61823,1.65749,1.59935,1.64314,1.59766,1.64314,1.60275,1.62144,1.59723,1.62144,1.6009
47,0.0125241,1.78361,1.62355,1.66455,1.60492,1.64984,1.60319,1.64984,1.60842,1.62738,1.60256,1.62738,1.60632
48,0.0127906,1.79293,1.62878,1.67153,1.6104,1.65646,1.60864,1.65646,1.614,1.63321,1.60777,1.63321,1.61162
49,0.013057,1.80218,1.63391,1.67844,1.6158,1.66299,1.614,1.66299,1.61948,1.63893,1.61288,1.63893,1.61682
50,0.0133235,1.81135,1.63895,1.68526,1.62111,1.66944,1.61927,1.66944,1.62488,1.64454,1.61787,1.64454,1.6219
51,0.01359,1.82045,1.64389,1.69201,1.62634,1.6758,1.62445,1.6758,1.63019,1.65004,1.62274,1.65004,1.62687
52,0.0138565,1.82947,1.64873,1.69868,1.63148,1.68208,1.62954,1.68208,1.63541,1.65542,1.62751,1.65542,1.63173
53,0.0141229,1.83842,1.65348,1.70527,1.63654,1.68827,1.63454,1.68827,1.64055,1.6607,1.63216,1.6607,1.63648
54,0.0143894,1.84729,1.65814,1.71178,1.64151,1.69437,1.63945,1.69437,1.64559,1.66586,1.6367,1.66586,1.64111
55,0.0146559,1.85608,1.6627,1.71821,1.6464,1.70039,1.64427,1.70039,1.65054,1.67092,1.64113,1.67092,1.64564
56,0.0149223,1.8648,1.66718,1.72457,1.65121,1.70633,1.649,1.70633,1.65541,1.67586,1.64545,1.67586,1.65005
57,0.0151888,1.87344,1.67155,1.73084,1.65594,1.71218,1.65365,1.71218,1.66019,1.68069,1.64965,1.68069,1.65435
58,0.0154553,1.88201,1.67584,1.73704,1.66058,1.71795,1.6582,1.71795,1.66488,1.68542,1.65375,1.68542,1.65854
59,0.0157218,1.8905,1.68004,1.74316,1.66514,1.72363,1.66267,1.72363,1.66948,1.69003,1.65773,1.69003,1.66261
60,0.0159882,1.89891,1.68414,1.74921,1.66961,1.72922,1.66705,1.72922,1.67399,1.69453,1.6616,1.69453,1.66658
61,0.0162547,1.90725,1.68816,1.75517,1.674,1.73473,1.67135,1.73473,1.67842,1.69892,1.66536,1.69892,1.67043
62,0.0165212,1.91551,1.69208,1.76106,1.67832,1.74016,1.67555,1.74016,1.68276,1.7032,1.66901,1.7032,1.67417
63,0.0167876,1.9237,1.69592,1.76686,1.68254,1.7455,1.67967,1.7455,1.68701,1.70736,1.67255,1.70736,1.67781
64,0.0170541,1.93181,1.69966,1.77259,1.68669,1.75076,1.6837,1.75076,1.69117,1.71142,1.67597,1.71142,1.68133
65,0.0173206,1.93984,1.70332,1.77824,1.69075,1.75593,1.68764,1.75593,1.69525,1.71537,1.67929,1.71537,1.68474
66,0.017587,1.9478,1.70689,1.78382,1.69474,1.76101,1.69149,1.76101,1.69924,1.7192,1.68249,1.7192,1.68804
67,0.0178535,1.95568,1.71037,1.78931,1.69864,1.76601,1.69526,1.76601,1.70314,1.72293,1.68558,1.72293,1.69122
68,0.01812,1.96349,1.71377,1.79473,1.70246,1.77093,1.69894,1.77093,1.70696,1.72654,1.68857,1.72654,1.6943
69,0.0183865,1.97122,1.71708,1.80007,1.7062,1.77576,1.70254,1.77576,1.71069,1.73004,1.69144,1.73004,1.69727
70,0.0186529,1.97887,1.7203,1.80533,1.70985,1.7805,1.70605,1.7805,1.71433,1.73344,1.6942,1.73344,1.70013
71,0.0189194,1.98645,1.72343,1.81051,1.71343,1.78516,1.70947,1.78516,1.71789,1.73672,1.69686,1.73672,1.70287
72,0.0191859,1.99395,1.72649,1.81561,1.71693,1.78974,1.7128,1.78974,1.72136,1.73989,1.6994,1.73989,1.70551
73,0.0194523,2.00138,1.72945,1.82064,1.72034,1.79423,1.71605,1.79423,1.72475,1.74295,1.70183,1.74295,1.70803
74,0.0197188,2.00873,1.73234,1.82558,1.72368,1.79863,1.71922,1.79863,1.72805,1.7459,1.70415,1.7459,1.71045
75,0.0199853,2.016,1.73514,1.83045,1.72693,1.80295,1.72229,1.80295,1.73126,1.74874,1.70636,1.74874,1.71276
76,0.0202518,2.0232,1.73785,1.83524,1.73011,1.80719,1.72528,1.80719,1.73439,1.75146,1.70847,1.75146,1.71495
77,0.0205182,2.03032,1.74048,1.83995,1.73321,1.81134,1.72819,1.81134,1.73743,1.75408,1.71046,1.75408,1.71704
78,0.0207847,2.03737,1.74303,1.84459,1.73622,1.8154,1.73101,1.8154,1.74039,1.75659,1.71234,1.75659,1.71901
79,0.0210512,2.04434,1.7455,1.84914,1.73916,1.81938,1.73375,1.81938,1.74326,1.75898,1.71412,1.75898,1.72088
80,0.0213176,2.05123,1.74789,1.85362,1.74202,1.82327,1.7364,1.82327,1.74604,1.76126,1.71578,1.76126,1.72264
81,0.0215841,2.05805,1.75019,1.85802,1.7448,1.82708,1.73897,1.82708,1.74875,1.76344,1.71734,1.76344,1.72428
82,0.0218506,2.06479,1.75242,1.86234,1.7475,1.83081,1.74145,1.83081,1.75136,1.7655,1.71878,1.7655,1.72582
83,0.022117,2.07146,1.75456,1.86658,1.75012,1.83445,1.74384,1.83445,1.75389,1.76745,1.72012,1.76745,1.72725
84,0.0223835,2.07805,1.75663,1.87074,1.75266,1.838,1.74616,1.838,1.75634,1.76929,1.72135,1.76929,1.72857
85,0.02265,2.08457,1.75861,1.87483,1.75513,1.84147,1.74839,1.84147,1.75871,1.77102,1.72247,1.77102,1.72978
86,0.0229165,2.091,1.76052,1.87884,1.75752,1.84485,1.75053,1.84485,1.76098,1.77264,1.72348,1.77264,1.73088
87,0.0231829,2.09737,1.76235,1.88277,1.75982,1.84815,1.75259,1.84815,1.76318,1.77415,1.72438,1.77415,1.73188
88,0.0234494,2.10365,1.7641,1.88662,1.76206,1.85137,1.75457,1.85137,1.76529,1.77555,1.72518,1.77555,1.73276
89,0.0237159,2.10986,1.76577,1.89039,1.76421,1.85449,1.75646,1.85449,1.76732,1.77684,1.72586,1.77684,1.73354
90,0.0239823,2.116,1.76736,1.89408,1.76629,1.85754,1.75827,1.85754,1.76926,1.77801,1.72644,1.77801,1.7342
91,0.0242488,2.12206,1.76888,1.8977,1.76828,1.8605,1.75999,1.8605,1.77112,1.77908,1.72691,1.77908,1.73476
92,0.0245153,2.12804,1.77032,1.90124,1.77021,1.86337,1.76164,1.86337,1.77289,1.78003,1.72727,1.78003,1.73521
93,0.0247817,2.13395,1.77169,1.9047,1.77205,1.86616,1.7632,1.86616,1.77459,1.78088,1.72752,1.78088,1.73555
94,0.0250482,2.13978,1.77298,1.90808,1.77382,1.86886,1.76467,1.86886,1.7762,1.78161,1.72767,1.78161,1.73579
95,0.0253147,2.14553,1.7742,1.91138,1.77551,1.87148,1.76607,1.87148,1.77772,1.78223,1.72771,1.78223,1.73591
96,0.0255812,2.15121,1.77534,1.91461,1.77713,1.87401,1.76738,1.87401,1.77917,1.78274,1.72764,1.78274,1.73593
97,0.0258476,2.15681,1.7764,1.91775,1.77867,1.87646,1.76861,1.87646,1.78053,1.78314,1.72746,1.78314,1.73584
98,0.0261141,2.16234,1.7774,1.92082,1.78013,1.87882,1.76975,1.87882,1.7818,1.78343,1.72718,1.78343,1.73564
99,0.0263806,2.16779,1.77832,1.92381,1.78152,1.8811,1.77082,1.8811,1.783,1.78361,1.72679,1.78361,1.73533
100,0.026647,2.17316,1.77916,1.92672,1.78283,1.88329,1.7718,1.88329,1.78411,1.78368,1.72629,1.78368,1.73492
101,0.0269135,2.17846,1.77994,1.92956,1.78407,1.8854,1.7727,1.8854,1.78514,1.78364,1.72568,1.78364,1.73439
102,0.02718,2.18369,1.78064,1.93231,1.78523,1.88742,1.77352,1.88742,1.78609,1.78348,1.72497,1.78348,1.73376
103,0.0274465,2.18883,1.78127,1.93499,1.78631,1.88936,1.77426,1.88936,1.78696,1.78322,1.72415,1.78322,1.73303
104,0.0277129,2.1939,1.78183,1.93759,1.78732,1.89121,1.77492,1.89121,1.78774,1.78284,1.72322,1.78284,1.73218
105,0.0279794,2.1989,1.78231,1.94011,1.78826,1.89298,1.77549,1.89298,1.78845,1.78236,1.72219,1.78236,1.73123
106,0.0282459,2.20382,1.78273,1.94255,1.78912,1.89466,1.77598,1.89466,1.78907,1.78176,1.72105,1.78176,1.73017
107,0.0285123,2.20866,1.78308,1.94491,1.78991,1.89626,1.7764,1.89626,1.78961,1.78105,1.7198,1.78105,1.729
108,0.0287788,2.21343,1.78336,1.9472,1.79062,1.89777,1.77673,1.89777,1.79006,1.78023,1.71845,1.78023,1.72773
109,0.0290453,2.21812,1.78356,1.94941,1.79126,1.8992,1.77698,1.8992,1.79044,1.77931,1.71699,1.77931,1.72635
110,0.0293117,2.22273,1.7837,1.95153,1.79183,1.90054,1.77715,1.90054,1.79074,1.77827,1.71543,1.77827,1.72486
111,0.0295782,2.22727,1.78377,1.95359,1.79232,1.9018,1.77724,1.9018,1.79095,1.77711,1.71376,1.77711,1.72327
112,0.0298447,2.23174,1.78378,1.95556,1.79274,1.90297,1.77725,1.90297,1.79109,1.77585,1.71198,1.77585,1.72157
113,0.0301112,2.23612,1.78371,1.95745,1.79308,1.90406,1.77718,1.90406,1.79114,1.77448,1.7101,1.77448,1.71976
114,0.0303776,2.24043,1.78358,1.95927,1.79335,1.90506,1.77703,1.90506,1.79111,1.773,1.70811,1.773,1.71785
115,0.0306441,2.24467,1.78338,1.96101,1.79355,1.90598,1.7768,1.90598,1.79101,1.7714,1.70602,1.7714,1.71583
116,0.0309106,2.24883,1.78311,1.96266,1.79367,1.90681,1.77649,1.90681,1.79082,1.7697,1.70382,1.7697,1.7137
117,0.031177,2.25291,1.78278,1.96425,1.79372,1.90755,1.7761,1.90755,1.79055,1.76788,1.70151,1.76788,1.71147
118,0.0314435,2.25692,1.78238,1.96575,1.7937,1.90822,1.77564,1.90822,1.7902,1.76596,1.6991,1.76596,1.70913
119,0.03171,2.26085,1.78192,1.96717,1.79361,1.90879,1.77509,1.90879,1.78977,1.76392,1.69659,1.76392,1.70668
120,0.0319764,2.2647,1.78139,1.96852,1.79345,1.90928,1.77446,1.90928,1.78927,1.76177,1.69397,1.76177,1.70413
121,0.0322429,2.26848,1.7808,1.96979,1.79321,1.90969,1.77376,1.90969,1.78868,1.75951,1.69124,1.75951,1.70148
122,0.0325094,2.27219,1.78014,1.97098,1.7929,1.91001,1.77297,1.91001,1.78801,1.75714,1.68841,1.75714,1.69871
123,0.0327759,2.27581,1.77942,1.97209,1.79252,1.91025,1.77211,1.91025,1.78727,1.75466,1.68548,1.75466,1.69585
124,0.0330423,2.27937,1.77863,1.97312,1.79207,1.9104,1.77117,1.9104,1.78644,1.75207,1.68244,1.75207,1.69287
125,0.0333088,2.28284,1.77779,1.97408,1.79154,1.91046,1.77015,1.91046,1.78554,1.74937,1.6793,1.74937,1.68979
126,0.0335753,2.28624,1.77688,1.97495,1.79095,1.91044,1.76905,1.91044,1.78455,1.74656,1.67605,1.74656,1.68661
127,0.0338417,2.28956,1.7759,1.97575,1.79028,1.91034,1.76788,1.91034,1.78349,1.74363,1.67269,1.74363,1.68332
128,0.0341082,2.29281,1.77487,1.97647,1.78955,1.91015,1.76662,1.91015,1.78235,1.7406,1.66924,1.7406,1.67992
129,0.0343747,2.29598,1.77377,1.97711,1.78874,1.90988,1.76529,1.90988,1.78113,1.73745,1.66568,1.73745,1.67642
130,0.0346412,2.29908,1.77261,1.97768,1.78786,1.90952,1.76388,1.90952,1.77983,1.7342,1.66201,1.7342,1.67282
131,0.0349076,2.3021,1.77139,1.97816,1.78691,1.90907,1.76239,1.90907,1.77845,1.73083,1.65824,1.73083,1.66911
132,0.0351741,2.30504,1.77011,1.97857,1.78589,1.90854,1.76083,1.90854,1.777,1.72735,1.65437,1.72735,1.66529
133,0.0354406,2.30791,1.76877,1.9789,1.7848,1.90793,1.75919,1.90793,1.77546,1.72376,1.65039,1.72376,1.66137
134,0.035707,2.3107,1.76737,1.97915,1.78364,1.90723,1.75747,1.90723,1.77385,1.72006,1.64631,1.72006,1.65735
135,0.0359735,2.31342,1.76592,1.97932,1.78241,1.90644,1.75568,1.90644,1.77216,1.71625,1.64213,1.71625,1.65322
136,0.03624,2.31606,1.7644,1.97941,1.78112,1.90557,1.7538,1.90557,1.7704,1.71233,1.63784,1.71233,1.64898
137,0.0365064,2.31862,1.76282,1.97943,1.77975,1.90462,1.75186,1.90462,1.76855,1.7083,1.63345,1.7083,1.64464
138,0.0367729,2.32111,1.76119,1.97937,1.77831,1.90358,1.74983,1.90358,1.76663,1.70416,1.62896,1.70416,1.6402
139,0.0370394,2.32352,1.75949,1.97923,1.7768,1.90245,1.74773,1.90245,1.76463,1.69991,1.62436,1.69991,1.63565
140,0.0373059,2.32585,1.75774,1.97901,1.77523,1.90124,1.74555,1.90124,1.76256,1.69554,1.61966,1.69554,1.631
141,0.0375723,2.32811,1.75593,1.97871,1.77359,1.89995,1.7433,1.89995,1.7604,1.69107,1.61486,1.69107,1.62625
142,0.0378388,2.3303,1.75407,1.97834,1.77187,1.89856,1.74097,1.89856,1.75817,1.68648,1.60995,1.68648,1.62139
143,0.0381053,2.33241,1.75215,1.97788,1.77009,1.8971,1.73856,1.8971,1.75586,1.68178,1.60494,1.68178,1.61642
144,0.0383717,2.33444,1.75017,1.97735,1.76824,1.89555,1.73608,1.89555,1.75348,1.67698,1.59983,1.67698,1.61136
145,0.0386382,2.33639,1.74813,1.97674,1.76633,1.89391,1.73353,1.89391,1.75102,1.67206,1.59462,1.67206,1.60619
146,0.0389047,2.33827,1.74604,1.97605,1.76434,1.89219,1.7309,1.89219,1.74848,1.66703,1.5893,1.66703,1.60091
147,0.0391711,2.34008,1.7439,1.97528,1.76229,1.89039,1.72819,1.89039,1.74587,1.66189,1.58388,1.66189,1.59553
148,0.0394376,2.3418,1.7417,1.97444,1.76017,1.8885,1.72541,1.8885,1.74318,1.65664,1.57836,1.65664,1.59005
149,0.0397041,2.34346,1.73944,1.97351,1.75798,1.88652,1.72255,1.88652,1.74041,1.65128,1.57274,1.65128,1.58447
150,0.0399706,2.34503,1.73714,1.97251,1.75572,1.88446,1.71962,1.88446,1.73757,1.64581,1.56702,1.64581,1.57878
151,0.040237,2.34653,1.73477,1.97143,1.7534,1.88231,1.71661,1.88231,1.73465,1.64022,1.56119,1.64022,1.57299
152,0.0405035,2.34796,1.73236,1.97027,1.75101,1.88008,1.71353,1.88008,1.73166,1.63453,1.55526,1.63453,1.56709
153,0.04077,2.3493,1.72989,1.96904,1.74855,1.87776,1.71038,1.87776,1.72859,1.62872,1.54923,1.62872,1.56109
154,0.0410364,2.35058,1.72736,1.96772,1.74603,1.87536,1.70715,1.87536,1.72545,1.62281,1.5431,1.62281,1.55499
155,0.0413029,2.35177,1.72479,1.96633,1.74344,1.87288,1.70384,1.87288,1.72223,1.61678,1.53687,1.61678,1.54879
156,0.0415694,2.35289,1.72216,1.96486,1.74078,1.8703,1.70046,1.8703,1.71893,1.61065,1.53053,1.61065,1.54248
157,0.0418359,2.35394,1.71948,1.96331,1.73806,1.86765,1.69701,1.86765,1.71556,1.6044,1.5241,1.6044,1.53607
158,0.0421023,2.35491,1.71675,1.96168,1.73527,1.86491,1.69349,1.86491,1.71212,1.59804,1.51756,1.59804,1.52956
159,0.0423688,2.3558,1.71397,1.95997,1.73242,1.86208,1.68989,1.86208,1.7086,1.59157,1.51092,1.59157,1.52295
160,0.0426353,2.35661,1.71114,1.95819,1.7295,1.85917,1.68622,1.85917,1.705,1.58499,1.50419,1.58499,1.51623
161,0.0429017,2.35735,1.70826,1.95633,1.72651,1.85617,1.68247,1.85617,1.70133,1.5784,1.49744,1.5784,1.50951
162,0.0431682,2.35802,1.70532,1.95439,1.72346,1.85309,1.67865,1.85309,1.69759,1.57182,1.49071,1.57182,1.5028
163,0.0434347,2.35861,1.70234,1.95237,1.72034,1.84992,1.67476,1.84992,1.69377,1.56525,1.48399,1.56525,1.4961
164,0.0437011,2.35912,1.69931,1.95027,1.71716,1.84667,1.6708,1.84667,1.68988,1.5587,1.4773,1.5587,1.48942
165,0.0439676,2.35955,1.69622,1.94809,1.71391,1.84333,1.66676,1.84333,1.68591,1.55216,1.47062,1.55216,1.48276
166,0.0442341,2.35992,1.69309,1.94584,1.7106,1.83991,1.66265,1.83991,1.68187,1.54563,1.46395,1.54563,1.47612
167,0.0445006,2.3602,1.68991,1.94351,1.70723,1.8364,1.65847,1.8364,1.67776,1.53912,1.45731,1.53912,1.46949
168,0.044767,2.36041,1.68668,1.9411,1.70379,1.83281,1.65422,1.83281,1.67357,1.53262,1.45068,1.53262,1.46288
169,0.0450335,2.36054,1.68341,1.93861,1.70028,1.82913,1.64989,1.82913,1.66931,1.52613,1.44407,1.52613,1.45629
170,0.0453,2.3606,1.68008,1.93604,1.69671,1.82537,1.64549,1.82537,1.66497,1.51966,1.43748,1.51966,1.44971
171,0.0455664,2.36058,1.67671,1.93339,1.69308,1.82152,1.64102,1.82152,1.66057,1.51321,1.4309,1.51321,1.44315
172,0.0458329,2.36048,1.67329,1.93067,1.68938,1.81759,1.63648,1.81759,1.65608,1.50676,1.42434,1.50676,1.43661
173,0.0460994,2.36031,1.66983,1.92787,1.68562,1.81357,1.63187,1.81357,1.65153,1.50033,1.4178,1.50033,1.43008
174,0.0463659,2.36006,1.66632,1.92499,1.6818,1.80947,1.62718,1.80947,1.6469,1.49392,1.41128,1.49392,1.42357
175,0.0466323,2.35974,1.66276,1.92203,1.67791,1.80528,1.62242,1.80528,1.6422,1.48751,1.40477,1.48751,1.41708
176,0.0468988,2.35934,1.65916,1.91899,1.67396,1.80101,1.6176,1.80101,1.63743,1.48112,1.39828,1.48112,1.4106
177,0.0471653,2.35886,1.65551,1.91588,1.66995,1.79665,1.6127,1.79665,1.63258,1.47475,1.3918,1.47475,1.40414
178,0.0474317,2.35831,1.65181,1.91268,1.66587,1.79221,1.60773,1.79221,1.62766,1.46839,1.38535,1.46839,1.39769
179,0.0476982,2.35769,1.64807,1.90941,1.66173,1.78768,1.60269,1.78768,1.62267,1.46204,1.37891,1.46204,1.39127
180,0.0479647,2.35698,1.64429,1.90606,1.65753,1.78306,1.59758,1.78306,1.61761,1.45571,1.37248,1.45571,1.38486
181,0.0482311,2.3562,1.64046,1.90263,1.65326,1.77836,1.59239,1.77836,1.61248,1.44939,1.36608,1.44939,1.37846
182,0.0484976,2.35535,1.63659,1.89913,1.64893,1.77358,1.58714,1.77358,1.60727,1.44308,1.35969,1.44308,1.37208
183,0.0487641,2.35442,1.63267,1.89554,1.64454,1.76871,1.58182,1.76871,1.60199,1.43679,1.35332,1.43679,1.36572
184,0.0490306,2.35341,1.62871,1.89188,1.64009,1.76376,1.57643,1.76376,1.59664,1.43051,1.34696,1.43051,1.35938
185,0.049297,2.35233,1.62471,1.88814,1.63558,1.75872,1.57096,1.75872,1.59122,1.42424,1.34063,1.42424,1.35305
186,0.0495635,2.35117,1.62066,1.88432,1.63101,1.7536,1.56543,1.7536,1.58572,1.41799,1.33431,1.41799,1.34674
187,0.04983,2.34993,1.61657,1.88042,1.62637,1.74839,1.55983,1.74839,1.58016,1.41175,1.328,1.41175,1.34044
188,0.0500964,2.34862,1.61244,1.87645,1.62167,1.74309,1.55416,1.74309,1.57452,1.40553,1.32171,1.40553,1.33416
189,0.0503629,2.34723,1.60827,1.87239,1.61691,1.73771,1.54842,1.73771,1.56881,1.39932,1.31544,1.39932,1.3279
190,0.0506294,2.34577,1.60406,1.86826,1.61209,1.73225,1.5426,1.73225,1.56303,1.39312,1.30919,1.39312,1.32165
191,0.0508958,2.34423,1.5998,1.86405,1.60721,1.7267,1.53672,1.7267,1.55718,1.38694,1.30295,1.38694,1.31542
192,0.0511623,2.34262,1.5955,1.85976,1.60227,1.72107,1.53078,1.72107,1.55126,1.38077,1.29674,1.38077,1.30921
193,0.0514288,2.34092,1.59116,1.85539,1.59726,1.71535,1.52476,1.71535,1.54527,1.37462,1.29053,1.37462,1.30301
194,0.0516953,2.33916,1.58679,1.85095,1.5922,1.70954,1.51867,1.70954,1.53921,1.36848,1.28435,1.36848,1.29683
195,0.0519617,2.33731,1.58237,1.84642,1.58708,1.70365,1.51252,1.70365,1.53308,1.36235,1.27818,1.36235,1.29066
196,0.0522282,2.3354,1.57791,1.84182,1.58189,1.69768,1.50629,1.69768,1.52687,1.35624,1.27203,1.35624,1.28452
197,0.0524947,2.3334,1.57341,1.83714,1.57665,1.69162,1.5,1.69162,1.5206,1.35014,1.26589,1.35014,1.27838
198,0.0527611,2.33133,1.56887,1.83238,1.57134,1.68547,1.49364,1.68547,1.51426,1.34405,1.25977,1.34405,1.27227
199,0.0530276,2.32918,1.56429,1.82754,1.56598,1.67924,1.48721,1.67924,1.50784,1.33798,1.25367,1.33798,1.26617
200,0.0532941,2.32696,1.55968,1.82263,1.56056,1.67293,1.48071,1.67293,1.50136,1.33192,1.24759,1.33192,1.26009
201,0.0535606,2.32466,1.55502,1.81764,1.55507,1.66653,1.47415,1.66653,1.49481,1.32587,1.24152,1.32587,1.25402
202,0.053827,2.32229,1.55033,1.81256,1.54953,1.66004,1.46752,1.66004,1.48819,1.31984,1.23546,1.31984,1.24797
203,0.0540935,2.31984,1.5456,1.80741,1.54393,1.65347,1.46082,1.65347,1.4815,1.31382,1.22943,1.31382,1.24194
204,0.05436,2.31731,1.54083,1.80219,1.53827,1.64682,1.45405,1.64682,1.47473,1.30782,1.22341,1.30782,1.23592
205,0.0546264,2.31471,1.53602,1.79688,1.53255,1.64008,1.44721,1.64008,1.4679,1.30183,1.21741,1.30183,1.22992
206,0.0548929,2.31203,1.53118,1.79149,1.52677,1.63325,1.44031,1.63325,1.461,1.29585,1.21142,1.29585,1.22393
207,0.0551594,2.30927,1.5263,1.78603,1.52093,1.62634,1.43334,1.62634,1.45404,1.28989,1.20546,1.28989,1.21796
208,0.0554258,2.30644,1.52138,1.78049,1.51504,1.61935,1.42631,1.61935,1.447,1.28394,1.1995,1.28394,1.21201
209,0.0556923,2.30354,1.51643,1.77487,1.50909,1.61231,1.41924,1.61231,1.43993,1.27801,1.19357,1.27801,1.20607
210,0.0559588,2.30055,1.51144,1.76917,1.50307,1.60529,1.4122,1.60529,1.43289,1.27209,1.18765,1.27209,1.20015
211,0.0562253,2.29749,1.50641,1.7634,1.497,1.59829,1.40518,1.59829,1.42586,1.26618,1.18175,1.26618,1.19425
212,0.0564917,2.29436,1.50135,1.75754,1.49088,1.5913,1.39819,1.5913,1.41886,1.26028,1.17586,1.26028,1.18836
213,0.0567582,2.29115,1.49625,1.75161,1.48469,1.58432,1.39121,1.58432,1.41188,1.2544,1.16999,1.2544,1.18248
214,0.0570247,2.28786,1.49112,1.7456,1.47845,1.57737,1.38425,1.57737,1.40492,1.24854,1.16414,1.24854,1.17663
215,0.0572911,2.2845,1.48596,1.73951,1.47215,1.57042,1.37732,1.57042,1.39798,1.24269,1.15831,1.24269,1.17079
216,0.0575576,2.28106,1.48075,1.73334,1.46579,1.56349,1.37041,1.56349,1.39106,1.23685,1.15249,1.23685,1.16496
217,0.0578241,2.27755,1.47552,1.72709,1.45937,1.55658,1.36352,1.55658,1.38416,1.23102,1.14668,1.23102,1.15916
218,0.0580905,2.27396,1.47025,1.72077,1.4529,1.54968,1.35665,1.54968,1.37728,1.22521,1.1409,1.22521,1.15336
219,0.058357,2.27029,1.46494,1.71437,1.44637,1.5428,1.3498,1.5428,1.37042,1.21941,1.13513,1.21941,1.14759
220,0.0586235,2.26655,1.45961,1.70789,1.43979,1.53594,1.34297,1.53594,1.36358,1.21363,1.12937,1.21363,1.14183
221,0.05889,2.26273,1.45424,1.70133,1.43315,1.52909,1.33616,1.52909,1.35677,1.20786,1.12364,1.20786,1.13609
222,0.0591564,2.25883,1.44883,1.69469,1.42645,1.52225,1.32938,1.52225,1.34997,1.2021,1.11792,1.2021,1.13036
223,0.0594229,2.25486,1.44339,1.68798,1.41969,1.51543,1.32262,1.51543,1.3432,1.19636,1.11221,1.19636,1.12465
224,0.0596894,2.25082,1.43792,1.68118,1.41288,1.50862,1.31587,1.50862,1.33644,1.19063,1.10652,1.19063,1.11895
225,0.0599558,2.2467,1.43242,1.67431,1.40601,1.50183,1.30915,1.50183,1.32971,1.18492,1.10085,1.18492,1.11327
226,0.0602223,2.2425,1.42689,1.66736,1.39909,1.49506,1.30245,1.49506,1.32299,1.17921,1.0952,1.17921,1.10761
227,0.0604888,2.23822,1.42132,1.66033,1.39211,1.4883,1.29577,1.4883,1.3163,1.17353,1.08956,1.17353,1.10196
228,0.0607553,2.23387,1.41573,1.65322,1.38508,1.48156,1.28911,1.48156,1.30963,1.16785,1.08394,1.16785,1.09633
