Idx,rhoz(mg/cm^2),G(O K-L3),E(O K-L3),G(Mg K-L3),E(Mg K-L3),G(Al K-L3),E(Al K-L3),G(Al K-M3),E(Al K-M3),G(P K-L3),E(P K-L3),G(P K-M3),E(P K-M3)
571,0.152155,0.190082,0.0606561,0.0941689,0.0604543,0.0718518,0.0507114,0.0718518,0.0527565,0.0328848,0.027283,0.0328848,0.0280708
572,0.152421,0.187263,0.0596372,0.0924253,0.0592889,0.070376,0.0496395,0.070376,0.0516449,0.0319407,0.0264911,0.0319407,0.0272574
573,0.152688,0.184466,0.0586288,0.090698,0.0581358,0.0689155,0.0485796,0.0689155,0.0505458,0.0310104,0.0257111,0.0310104,0.0264561
574,0.152954,0.181689,0.0576309,0.088987,0.0569948,0.0674703,0.0475319,0.0674703,0.049459,0.0300938,0.024943,0.0300938,0.0256671
575,0.15322,0.178934,0.0566434,0.0872923,0.055866,0.0660404,0.0464961,0.0660404,0.0483847,0.029191,0.0241868,0.029191,0.0248902
576,0.153487,0.176199,0.0556663,0.0856139,0.0547493,0.0646258,0.0454725,0.0646258,0.0473227,0.0283019,0.0234425,0.0283019,0.0241254
577,0.153753,0.173486,0.0546995,0.0839518,0.0536448,0.0632265,0.0444608,0.0632265,0.046273,0.0274266,0.02271,0.0274266,0.0233728
578,0.15402,0.170793,0.053743,0.082306,0.0525523,0.0618426,0.043461,0.0618426,0.0452357,0.026565,0.0219894,0.026565,0.0226323
579,0.154286,0.168122,0.0527967,0.0806765,0.0514719,0.060474,0.0424733,0.060474,0.0442106,0.0257172,0.0212807,0.0257172,0.0219039
580,0.154553,0.165471,0.0518606,0.0790632,0.0504035,0.0591206,0.0414975,0.0591206,0.0431979,0.0248832,0.0205838,0.0248832,0.0211876
581,0.154819,0.162842,0.0509345,0.0774663,0.0493471,0.0577826,0.0405335,0.0577826,0.0421974,0.0240628,0.0198987,0.0240628,0.0204834
582,0.155086,0.160234,0.0500186,0.0758856,0.0483027,0.0564599,0.0395815,0.0564599,0.0412092,0.0232563,0.0192254,0.0232563,0.0197914
583,0.155352,0.157647,0.0491126,0.0743213,0.0472702,0.0551526,0.0386414,0.0551526,0.0402332,0.0224634,0.0185639,0.0224634,0.0191114
584,0.155619,0.155081,0.0482167,0.0727732,0.0462497,0.0538605,0.0377131,0.0538605,0.0392694,0.0216844,0.0179142,0.0216844,0.0184434
585,0.155885,0.152536,0.0473306,0.0712414,0.0452411,0.0525838,0.0367967,0.0525838,0.0383178,0.020919,0.0172763,0.020919,0.0177876
586,0.156152,0.150012,0.0464544,0.069726,0.0442444,0.0513223,0.0358921,0.0513223,0.0373784,0.0201675,0.0166502,0.0201675,0.0171437
587,0.156418,0.147509,0.0455881,0.0682268,0.0432595,0.0500762,0.0349992,0.0500762,0.0364511,0.0194296,0.0160358,0.0194296,0.016512
588,0.156685,0.145027,0.0447315,0.0667439,0.0422864,0.0488454,0.0341182,0.0488454,0.0355359,0.0187056,0.0154331,0.0187056,0.0158922
589,0.156951,0.142566,0.0438846,0.0652773,0.0413251,0.0476299,0.0332489,0.0476299,0.0346329,0.0179952,0.0148422,0.0179952,0.0152845
590,0.157218,0.140127,0.0430474,0.063827,0.0403756,0.0464298,0.0323913,0.0464298,0.033742,0.0172987,0.014263,0.0172987,0.0146888
591,0.157484,0.137708,0.0422198,0.0623929,0.0394379,0.0452449,0.0315454,0.0452449,0.0328631,0.0166158,0.0136955,0.0166158,0.0141051
592,0.15775,0.13531,0.0414018,0.0609752,0.0385118,0.0440753,0.0307113,0.0440753,0.0319963,0.0159468,0.0131398,0.0159468,0.0135333
593,0.158017,0.132934,0.0405934,0.0595738,0.0375975,0.0429211,0.0298888,0.0429211,0.0311415,0.0152914,0.0125957,0.0152914,0.0129736
594,0.158283,0.130578,0.0397944,0.0581887,0.0366948,0.0417822,0.0290779,0.0417822,0.0302988,0.0146499,0.0120632,0.0146499,0.0124258
595,0.15855,0.128244,0.0390048,0.0568198,0.0358038,0.0406586,0.0282787,0.0406586,0.0294681,0.014022,0.0115425,0.014022,0.01189
596,0.158816,0.12593,0.0382247,0.0554673,0.0349244,0.0395503,0.0274911,0.0395503,0.0286493,0.0134079,0.0110334,0.0134079,0.0113661
597,0.159083,0.123638,0.0374539,0.054131,0.0340566,0.0384573,0.0267151,0.0384573,0.0278425,0.0128076,0.0105359,0.0128076,0.0108542
598,0.159349,0.121367,0.0366924,0.052811,0.0332004,0.0373797,0.0259506,0.0373797,0.0270477,0.012221,0.0100501,0.012221,0.0103542
599,0.159616,0.119116,0.0359401,0.0515074,0.0323557,0.0363173,0.0251977,0.0363173,0.0262648,0.0116482,0.00957589,0.0116482,0.00986615
600,0.159882,0.116887,0.035197,0.05022,0.0315225,0.0352703,0.0244563,0.0352703,0.0254937,0.0110891,0.00911329,0.0110891,0.00939
601,0.160149,0.114679,0.0344631,0.0489489,0.0307008,0.0342386,0.0237264,0.0342386,0.0247346,0.0105438,0.00866228,0.0105438,0.00892575
602,0.160415,0.112492,0.0337383,0.0476941,0.0298906,0.0332222,0.0230081,0.0332222,0.0239874,0.0100122,0.00822287,0.0100122,0.00847339
603,0.160682,0.110326,0.0330225,0.0464556,0.0290918,0.0322211,0.0223011,0.0322211,0.023252,0.00949435,0.00779503,0.00949435,0.00803291
604,0.160948,0.108181,0.0323158,0.0452334,0.0283044,0.0312353,0.0216057,0.0312353,0.0225284,0.00899026,0.00737875,0.00899026,0.00760431
605,0.161215,0.106057,0.0316181,0.0440275,0.0275285,0.0302649,0.0209216,0.0302649,0.0218167,0.00849993,0.00697402,0.00849993,0.00718757
606,0.161481,0.103954,0.0309292,0.0428378,0.0267639,0.0293097,0.020249,0.0293097,0.0211167,0.00802334,0.00658084,0.00802334,0.00678269
607,0.161748,0.101873,0.0302493,0.0416645,0.0260106,0.0283699,0.0195878,0.0283699,0.0204286,0.0075605,0.00619919,0.0075605,0.00638965
608,0.162014,0.0998119,0.0295781,0.0405075,0.0252687,0.0274454,0.0189379,0.0274454,0.0197521,0.00711141,0.00582905,0.00711141,0.00600844
609,0.16228,0.0977722,0.0289158,0.0393667,0.024538,0.0265362,0.0182993,0.0265362,0.0190875,0.00667607,0.00547042,0.00667607,0.00563906
610,0.162547,0.0957536,0.0282622,0.0382423,0.0238186,0.0256423,0.0176721,0.0256423,0.0184345,0.00625448,0.00512329,0.00625448,0.00528149
611,0.162813,0.093756,0.0276173,0.0371341,0.0231105,0.0247638,0.0170562,0.0247638,0.0177933,0.00584664,0.00478765,0.00584664,0.00493572
612,0.16308,0.0917795,0.0269811,0.0360422,0.0224135,0.0239005,0.0164516,0.0239005,0.0171637,0.00545255,0.00446348,0.00545255,0.00460176
613,0.163346,0.0898241,0.0263535,0.0349667,0.0217278,0.0230526,0.0158583,0.0230526,0.0165458,0.0050722,0.00415077,0.0050722,0.00427957
614,0.163613,0.0878897,0.0257344,0.0339074,0.0210532,0.0222199,0.0152762,0.0222199,0.0159396,0.00470561,0.00384951,0.00470561,0.00396917
615,0.163879,0.0859764,0.0251239,0.0328644,0.0203898,0.0214026,0.0147053,0.0214026,0.015345,0.00435276,0.0035597,0.00435276,0.00367053
616,0.164146,0.0840841,0.0245218,0.0318377,0.0197375,0.0206006,0.0141456,0.0206006,0.014762,0.00401367,0.00328131,0.00401367,0.00338364
617,0.164412,0.0822129,0.0239282,0.0308273,0.0190963,0.0198139,0.0135971,0.0198139,0.0141906,0.00368832,0.00301434,0.00368832,0.0031085
618,0.164679,0.0803627,0.0233429,0.0298332,0.0184661,0.0190426,0.0130598,0.0190426,0.0136308,0.00337673,0.00275879,0.00337673,0.0028451
619,0.164945,0.0785336,0.022766,0.0288553,0.017847,0.0182865,0.0125336,0.0182865,0.0130825,0.00307888,0.00251462,0.00307888,0.00259343
620,0.165212,0.0767255,0.0221975,0.0278938,0.0172389,0.0175458,0.0120186,0.0175458,0.0125458,0.00279478,0.00228184,0.00279478,0.00235347
621,0.165478,0.0749386,0.0216371,0.0269486,0.0166418,0.0168204,0.0115147,0.0168204,0.0120206,0.00252443,0.00206044,0.00252443,0.00212523
622,0.165745,0.0731726,0.021085,0.0260196,0.0160557,0.0161103,0.0110218,0.0161103,0.0115069,0.00226784,0.0018504,0.00226784,0.00190867
