t.nm, kC, kFe
0,0.00000,1.00000
5,0.35106,0.00000
10,0.56826,0.00000
15,0.74054,0.00000
20,0.87585,0.00000
22,0.92010,0.00000
25,0.96327,0.00000
30,0.99604,0.00000
35,1.00186,0.00000
40,1.00191,0.00000
