t.nm, kC, kFe
0,0.00000,1.00000
5,0.07632,0.88126
10,0.08896,0.87423
15,0.10087,0.86213
20,0.11403,0.84786
22,0.11908,0.84191
25,0.12600,0.83529
30,0.13788,0.82298
35,0.15156,0.81214
40,0.16415,0.80385
