t.nm, kC, kFe
0,0.00000,1.00000
5,0.05743,0.88286
10,0.06451,0.87443
15,0.07200,0.86808
20,0.07874,0.85838
22,0.08128,0.85534
25,0.08566,0.84957
30,0.09335,0.84159
35,0.09974,0.83392
40,0.10888,0.82942
