t.nm, kC, kFe
0,0.00000,1.00000
5,0.09079,0.88392
10,0.10843,0.87000
15,0.12720,0.85165
20,0.14480,0.83381
22,0.15120,0.82253
25,0.16201,0.81298
30,0.18145,0.80158
35,0.20165,0.78230
40,0.21861,0.76505
