t.nm, kC, kFe
0,0.00000,1.00000
5,0.06618,0.89200
10,0.07488,0.87973
15,0.08385,0.87552
20,0.09309,0.86725
22,0.09651,0.86119
25,0.10182,0.85316
30,0.11116,0.85013
35,0.12138,0.83206
40,0.13099,0.82420
