t.nm, kC, kFe
0,0.00000,1.00000
5,0.11192,0.87313
10,0.14232,0.84490
15,0.17086,0.81736
20,0.20358,0.77998
22,0.21524,0.77390
25,0.23368,0.75861
30,0.26522,0.72711
35,0.29879,0.69440
40,0.32786,0.66547
