Min	Max	Gen[C K-L2]	Emit[C K-L2]	Gen[C K-L3]	Emit[C K-L3]	Gen[O K-L2]	Emit[O K-L2]	Gen[O K-L3]	Emit[O K-L3]	Gen[Cu K-L2]	Emit[Cu K-L2]	Gen[Cu K-L3]	Emit[Cu K-L3]	Gen[Cu K-M2]	Emit[Cu K-M2]	Gen[Cu K-M3]	Emit[Cu K-M3]	Gen[Cu L1-M2]	Emit[Cu L1-M2]	Gen[Cu L1-M3]	Emit[Cu L1-M3]	Gen[Cu L1-M4]	Emit[Cu L1-M4]	Gen[Cu L1-M5]	Emit[Cu L1-M5]	Gen[Cu L2-M1]	Emit[Cu L2-M1]	Gen[Cu L2-M3]	Emit[Cu L2-M3]	Gen[Cu L2-M4]	Emit[Cu L2-M4]	Gen[Cu L2-N1]	Emit[Cu L2-N1]	Gen[Cu L3-M1]	Emit[Cu L3-M1]	Gen[Cu L3-M2]	Emit[Cu L3-M2]	Gen[Cu L3-M3]	Emit[Cu L3-M3]	Gen[Cu L3-M4]	Emit[Cu L3-M4]	Gen[Cu L3-M5]	Emit[Cu L3-M5]	Gen[Ag K-L2]	Emit[Ag K-L2]	Gen[Ag K-L3]	Emit[Ag K-L3]	Gen[Ag K-M2]	Emit[Ag K-M2]	Gen[Ag K-M3]	Emit[Ag K-M3]	Gen[Ag K-N2]	Emit[Ag K-N2]	Gen[Ag K-N3]	Emit[Ag K-N3]	Gen[Ag L1-M2]	Emit[Ag L1-M2]	Gen[Ag L1-M3]	Emit[Ag L1-M3]	Gen[Ag L1-M4]	Emit[Ag L1-M4]	Gen[Ag L1-M5]	Emit[Ag L1-M5]	Gen[Ag L1-N2]	Emit[Ag L1-N2]	Gen[Ag L1-N3]	Emit[Ag L1-N3]	Gen[Ag L2-M1]	Emit[Ag L2-M1]	Gen[Ag L2-M4]	Emit[Ag L2-M4]	Gen[Ag L2-N1]	Emit[Ag L2-N1]	Gen[Ag L2-N4]	Emit[Ag L2-N4]	Gen[Ag L3-M1]	Emit[Ag L3-M1]	Gen[Ag L3-M4]	Emit[Ag L3-M4]	Gen[Ag L3-M5]	Emit[Ag L3-M5]	Gen[Ag L3-N1]	Emit[Ag L3-N1]	Gen[Ag L3-N4]	Emit[Ag L3-N4]	Gen[Ag L3-N5]	Emit[Ag L3-N5]	Gen[Ag M1-N2]	Emit[Ag M1-N2]	Gen[Ag M1-N3]	Emit[Ag M1-N3]	Gen[Ag M2-N1]	Emit[Ag M2-N1]	Gen[Ag M2-N4]	Emit[Ag M2-N4]	Gen[Ag M3-N1]	Emit[Ag M3-N1]	Gen[Ag M3-N4]	Emit[Ag M3-N4]	Gen[Ag M3-N5]	Emit[Ag M3-N5]	Gen[Ag M4-N2]	Emit[Ag M4-N2]	Gen[Ag M4-N3]	Emit[Ag M4-N3]	Gen[Ag M5-N3]	Emit[Ag M5-N3]	Gen_I[C K-L2]	Emit_I[C K-L2]	Gen_I[C K-L3]	Emit_I[C K-L3]	Gen_I[O K-L2]	Emit_I[O K-L2]	Gen_I[O K-L3]	Emit_I[O K-L3]	Gen_I[Cu K-L2]	Emit_I[Cu K-L2]	Gen_I[Cu K-L3]	Emit_I[Cu K-L3]	Gen_I[Cu K-M2]	Emit_I[Cu K-M2]	Gen_I[Cu K-M3]	Emit_I[Cu K-M3]	Gen_I[Cu L1-M2]	Emit_I[Cu L1-M2]	Gen_I[Cu L1-M3]	Emit_I[Cu L1-M3]	Gen_I[Cu L1-M4]	Emit_I[Cu L1-M4]	Gen_I[Cu L1-M5]	Emit_I[Cu L1-M5]	Gen_I[Cu L2-M1]	Emit_I[Cu L2-M1]	Gen_I[Cu L2-M3]	Emit_I[Cu L2-M3]	Gen_I[Cu L2-M4]	Emit_I[Cu L2-M4]	Gen_I[Cu L2-N1]	Emit_I[Cu L2-N1]	Gen_I[Cu L3-M1]	Emit_I[Cu L3-M1]	Gen_I[Cu L3-M2]	Emit_I[Cu L3-M2]	Gen_I[Cu L3-M3]	Emit_I[Cu L3-M3]	Gen_I[Cu L3-M4]	Emit_I[Cu L3-M4]	Gen_I[Cu L3-M5]	Emit_I[Cu L3-M5]	Gen_I[Ag K-L2]	Emit_I[Ag K-L2]	Gen_I[Ag K-L3]	Emit_I[Ag K-L3]	Gen_I[Ag K-M2]	Emit_I[Ag K-M2]	Gen_I[Ag K-M3]	Emit_I[Ag K-M3]	Gen_I[Ag K-N2]	Emit_I[Ag K-N2]	Gen_I[Ag K-N3]	Emit_I[Ag K-N3]	Gen_I[Ag L1-M2]	Emit_I[Ag L1-M2]	Gen_I[Ag L1-M3]	Emit_I[Ag L1-M3]	Gen_I[Ag L1-M4]	Emit_I[Ag L1-M4]	Gen_I[Ag L1-M5]	Emit_I[Ag L1-M5]	Gen_I[Ag L1-N2]	Emit_I[Ag L1-N2]	Gen_I[Ag L1-N3]	Emit_I[Ag L1-N3]	Gen_I[Ag L2-M1]	Emit_I[Ag L2-M1]	Gen_I[Ag L2-M4]	Emit_I[Ag L2-M4]	Gen_I[Ag L2-N1]	Emit_I[Ag L2-N1]	Gen_I[Ag L2-N4]	Emit_I[Ag L2-N4]	Gen_I[Ag L3-M1]	Emit_I[Ag L3-M1]	Gen_I[Ag L3-M4]	Emit_I[Ag L3-M4]	Gen_I[Ag L3-M5]	Emit_I[Ag L3-M5]	Gen_I[Ag L3-N1]	Emit_I[Ag L3-N1]	Gen_I[Ag L3-N4]	Emit_I[Ag L3-N4]	Gen_I[Ag L3-N5]	Emit_I[Ag L3-N5]	Gen_I[Ag M1-N2]	Emit_I[Ag M1-N2]	Gen_I[Ag M1-N3]	Emit_I[Ag M1-N3]	Gen_I[Ag M2-N1]	Emit_I[Ag M2-N1]	Gen_I[Ag M2-N4]	Emit_I[Ag M2-N4]	Gen_I[Ag M3-N1]	Emit_I[Ag M3-N1]	Gen_I[Ag M3-N4]	Emit_I[Ag M3-N4]	Gen_I[Ag M3-N5]	Emit_I[Ag M3-N5]	Gen_I[Ag M4-N2]	Emit_I[Ag M4-N2]	Gen_I[Ag M4-N3]	Emit_I[Ag M4-N3]	Gen_I[Ag M5-N3]	Emit_I[Ag M5-N3]
4999.991	5000.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.126	1.124	1.126	1.124	1.126	1.124	1.126	1.124	1.188	0.841	1.188	0.841	1.188	0.894	1.188	0.894	9.191	8.557	9.197	8.633	96.410	70.759	9.190	6.380	102.229	94.805	8.109	7.586	8.119	7.595	102.230	96.688	102.602	97.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	181553.578	181228.795	354010.022	353380.952	22001.908	21972.172	43049.794	42991.612	19688.388	13939.097	30466.720	21570.001	74.365	55.977	97.818	73.632	24741.311	23035.711	863.408	810.419	238180.035	174808.487	6423.978	4459.614	49177.859	45606.835	919.334	860.058	891.122	833.666	42047.727	39768.251	451922.655	427423.184	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.045	5000.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.475	1.467	1.475	1.467	1.475	1.469	1.475	1.469	1.556	0.525	1.556	0.525	1.556	0.640	1.556	0.640	12.032	9.662	12.040	9.914	126.215	47.851	12.031	3.808	133.831	106.166	10.615	8.651	10.628	8.662	133.833	112.804	134.319	113.214	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	237919.353	236623.145	463917.244	461406.597	28832.699	28713.974	56415.188	56182.885	25774.194	8696.217	39884.176	13456.927	97.352	40.039	128.055	52.667	32389.436	26010.218	1130.308	930.648	311810.844	118215.389	8409.782	2661.613	64380.215	51072.089	1203.514	980.844	1166.582	950.744	55045.944	46396.845	591625.533	498666.311	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.100	5000.155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.816	1.799	1.816	1.799	1.816	1.803	1.816	1.803	1.986	0.284	1.986	0.284	1.986	0.407	1.986	0.407	15.369	10.419	15.380	10.899	161.149	28.496	15.367	1.960	170.928	113.386	13.563	9.439	13.580	9.450	170.930	126.276	171.552	126.735	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	292890.304	290081.210	571104.709	565663.652	35494.457	35237.031	69449.842	68946.154	32906.816	4713.862	50921.524	7294.448	124.292	25.458	163.492	33.487	41372.047	28047.026	1443.778	1023.162	398117.117	70398.372	10742.079	1370.139	82226.055	54545.220	1537.741	1070.136	1490.552	1037.296	70304.376	51937.873	755621.346	558220.799	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.155	5000.209	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.805	1.781	1.805	1.781	1.805	1.787	1.805	1.787	2.016	0.128	2.016	0.128	2.016	0.212	2.016	0.212	15.586	8.990	15.597	9.580	163.392	13.966	15.585	0.836	173.313	96.938	13.756	8.234	13.772	8.244	173.316	112.909	173.947	113.320	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	291123.876	287174.421	567660.364	560010.392	35280.389	34918.285	69030.989	68322.483	33404.009	2113.713	51690.903	3270.856	126.170	13.290	165.962	17.482	41957.081	24200.681	1464.194	899.310	403656.286	34501.713	10893.981	584.439	83373.694	46632.811	1559.533	933.556	1511.676	904.908	71285.623	46439.925	766167.756	499129.721	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.209	5000.264	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.839	1.807	1.839	1.807	1.839	1.815	1.839	1.815	2.092	0.057	2.092	0.057	2.092	0.111	2.092	0.111	16.161	7.899	16.172	8.578	169.382	6.862	16.159	0.356	179.663	84.366	14.262	7.316	14.279	7.325	179.666	102.890	180.320	103.264	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	296603.440	291379.343	578344.926	568225.873	35944.440	35465.233	70330.297	69392.662	34666.588	948.283	53644.676	1467.418	130.939	6.972	172.235	9.171	43503.579	21263.119	1518.162	805.266	418454.223	16952.807	11295.523	248.900	86428.389	40584.788	1616.965	829.444	1567.345	803.991	73897.428	42319.064	794239.292	454839.419	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.264	5000.318	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.270	1.243	1.270	1.243	1.270	1.250	1.270	1.250	1.433	0.022	1.433	0.022	1.433	0.046	1.433	0.046	11.069	4.720	11.076	5.206	116.022	2.725	11.068	0.137	123.061	50.039	9.768	4.412	9.780	4.418	123.062	63.369	123.510	63.599	0.457	0.451	0.457	0.451	0.457	0.453	0.457	0.453	0.457	0.453	0.457	0.453	0.621	0.465	1299.509	979.449	0.621	0.481	0.621	0.482	0.621	0.504	0.621	0.505	437.893	290.014	437.893	323.218	10.166	7.868	437.893	344.778	545.542	335.839	545.542	383.316	545.542	384.047	3.649	2.764	3.648	2.820	545.543	421.720	0.634	0.108	0.634	0.112	47.937	3.117	49.182	6.181	40.495	1.976	5.524	0.583	40.494	4.272	66.615	0.487	66.614	0.530	10506.284	77.328	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	204770.545	200479.535	399280.620	390968.861	24815.499	24421.722	48554.977	47784.496	23741.786	366.044	36739.134	566.433	89.675	2.855	117.957	3.756	29796.268	12706.996	1039.813	488.760	286630.564	6733.068	7736.476	95.504	59199.183	24071.466	1107.450	500.233	1073.466	484.882	50616.093	26063.859	544014.661	280130.702	2669.535	2637.710	5030.428	4971.753	438.620	434.932	852.292	845.152	89.160	88.454	172.411	171.048	10551.624	7893.238	17564.483	13238.473	116.626	90.341	173.950	134.905	1886.786	1530.623	3170.537	2574.633	5000.983	3312.125	159600.898	117805.054	1241.592	960.916	14918.162	11745.914	22337.092	13750.871	42804.763	30076.006	379694.217	267294.964	3417.397	2588.809	3933.644	3040.821	34693.376	26818.957	1858.598	317.846	2699.897	477.684	6672.643	433.912	13799.697	1734.378	18033.794	880.204	3437.920	362.752	30718.116	3240.912	90549.243	661.374	15301.150	121.828	147003.335	1081.976
5000.318	5000.373	1.592	0.538	1.592	0.539	1.561	0.535	1.561	0.535	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.491	0.485	0.491	0.485	0.491	0.487	0.491	0.487	0.491	0.487	0.491	0.487	0.737	0.542	1542.266	1143.647	0.737	0.544	0.737	0.545	0.737	0.566	0.737	0.567	519.776	336.244	519.776	377.004	12.068	8.895	519.776	390.591	647.643	387.924	647.644	445.913	647.643	446.813	4.332	3.229	4.332	3.299	647.644	493.265	0.754	0.068	0.754	0.071	57.049	1.808	58.526	3.655	48.188	1.150	6.575	0.359	48.188	2.628	79.260	0.512	79.260	0.559	12500.668	81.383	99893.693	33775.232	199363.964	67496.800	13212.161	4527.635	26319.812	9019.456	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2873.133	2837.375	5414.085	5348.159	472.072	467.928	917.294	909.270	95.960	95.167	185.561	184.028	12523.154	9212.759	20845.657	15457.823	138.417	102.130	206.451	152.533	2239.324	1718.511	3762.940	2891.395	5936.138	3840.103	189445.325	137408.542	1473.906	1086.426	17707.771	13306.669	26517.605	15883.486	50815.916	34987.604	450756.135	310979.220	4057.300	3024.818	4670.213	3556.978	41186.438	31368.813	2212.121	199.842	3213.442	303.630	7940.900	251.730	16421.633	1025.676	21460.021	512.220	4091.916	223.178	36554.228	1993.576	107738.034	695.884	18205.738	128.504	174908.647	1138.706
5000.373	5000.427	2.294	0.460	2.294	0.461	2.266	0.454	2.266	0.454	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	143880.833	28844.857	287151.796	57663.038	19173.548	3843.170	38195.430	7655.941	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.427	5000.482	2.188	0.486	2.188	0.487	2.149	0.418	2.149	0.418	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	137236.457	30507.566	273891.207	61031.130	18186.439	3539.398	36229.021	7050.799	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.482	5000.536	2.242	0.471	2.242	0.472	2.186	0.371	2.186	0.371	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	140636.096	29517.800	280676.074	59105.573	18495.623	3141.831	36844.944	6258.810	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.536	5000.591	2.302	0.307	2.302	0.309	2.264	0.253	2.264	0.253	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	144409.551	19286.509	288206.989	38692.324	19160.075	2138.562	38168.592	4260.207	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.591	5000.645	2.076	0.281	2.076	0.282	2.049	0.212	2.049	0.212	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	130260.132	17615.594	259968.127	35341.230	17337.420	1797.959	34537.698	3581.696	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
