Min	Max	Gen[C K-L2]	Emit[C K-L2]	Gen[C K-L3]	Emit[C K-L3]	Gen[Cu L1-M2]	Emit[Cu L1-M2]	Gen[Cu L1-M3]	Emit[Cu L1-M3]	Gen[Cu L1-M4]	Emit[Cu L1-M4]	Gen[Cu L1-M5]	Emit[Cu L1-M5]	Gen[Cu L2-M1]	Emit[Cu L2-M1]	Gen[Cu L2-M3]	Emit[Cu L2-M3]	Gen[Cu L2-M4]	Emit[Cu L2-M4]	Gen[Cu L2-N1]	Emit[Cu L2-N1]	Gen[Cu L3-M1]	Emit[Cu L3-M1]	Gen[Cu L3-M2]	Emit[Cu L3-M2]	Gen[Cu L3-M3]	Emit[Cu L3-M3]	Gen[Cu L3-M4]	Emit[Cu L3-M4]	Gen[Cu L3-M5]	Emit[Cu L3-M5]	Gen_I[C K-L2]	Emit_I[C K-L2]	Gen_I[C K-L3]	Emit_I[C K-L3]	Gen_I[Cu L1-M2]	Emit_I[Cu L1-M2]	Gen_I[Cu L1-M3]	Emit_I[Cu L1-M3]	Gen_I[Cu L1-M4]	Emit_I[Cu L1-M4]	Gen_I[Cu L1-M5]	Emit_I[Cu L1-M5]	Gen_I[Cu L2-M1]	Emit_I[Cu L2-M1]	Gen_I[Cu L2-M3]	Emit_I[Cu L2-M3]	Gen_I[Cu L2-M4]	Emit_I[Cu L2-M4]	Gen_I[Cu L2-N1]	Emit_I[Cu L2-N1]	Gen_I[Cu L3-M1]	Emit_I[Cu L3-M1]	Gen_I[Cu L3-M2]	Emit_I[Cu L3-M2]	Gen_I[Cu L3-M3]	Emit_I[Cu L3-M3]	Gen_I[Cu L3-M4]	Emit_I[Cu L3-M4]	Gen_I[Cu L3-M5]	Emit_I[Cu L3-M5]
		Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)
4999.998	5000.009	1.509	1.502	1.509	1.503	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	513122.131	510980.887	1024069.281	1019948.754	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.009	5000.020	1.941	1.915	1.941	1.916	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	660031.601	651412.505	1317265.511	1300676.815	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5000.020	5000.031	0.911	0.892	0.911	0.893	1.068	1.001	1.068	1.001	1.068	1.013	1.068	1.013	8.322	7.971	8.328	8.022	8.322	7.799	8.321	7.739	7.400	7.068	7.399	7.112	7.408	7.120	7.400	7.166	7.427	7.193	309768.218	303533.518	618223.414	606222.409	43399.740	40645.992	67158.758	62897.483	163.925	155.364	215.624	204.364	54920.851	52606.300	1916.597	1846.332	522538.373	489711.193	14259.968	13262.599	108802.724	103922.965	2056.615	1976.619	1993.510	1915.969	93027.796	90090.745	999864.536	968297.050
5000.031	5000.042	0.000	0.000	0.000	0.000	2.327	1.916	2.327	1.916	2.327	1.986	2.327	1.986	18.205	16.997	18.217	17.156	18.205	15.212	18.203	14.769	16.197	15.058	16.196	15.199	16.215	15.217	16.197	15.376	16.257	15.433	0.000	0.000	0.000	0.000	94521.888	77827.504	146267.528	120433.867	357.018	304.670	469.616	400.758	120142.639	112171.697	4192.673	3948.440	1143083.876	955152.098	31194.529	25309.490	238148.005	221402.207	4501.531	4224.409	4363.410	4094.791	203619.756	193300.526	2188509.671	2077598.355
5000.042	5000.053	0.000	0.000	0.000	0.000	2.512	1.750	2.512	1.750	2.512	1.871	2.512	1.871	19.716	17.810	19.729	18.045	19.716	14.200	19.714	13.400	17.550	15.757	17.548	15.969	17.569	15.988	17.550	16.238	17.614	16.298	0.000	0.000	0.000	0.000	102032.617	71096.733	157889.975	110018.363	385.387	287.108	506.932	377.658	130113.801	117538.508	4540.642	4152.999	1237953.398	891618.619	33783.497	22963.356	258036.724	231677.782	4877.472	4438.538	4727.819	4302.353	220624.878	204133.118	2371281.097	2194027.294
5000.053	5000.064	0.000	0.000	0.000	0.000	2.538	1.498	2.538	1.498	2.538	1.651	2.538	1.651	20.033	17.511	20.047	17.809	20.033	12.442	20.031	11.413	17.845	15.475	17.844	15.747	17.865	15.766	17.845	16.094	17.911	16.153	0.000	0.000	0.000	0.000	103103.843	60832.532	159547.641	94135.065	389.433	253.389	512.254	333.304	132206.953	115564.687	4613.690	4098.656	1257868.464	781241.214	34326.972	19557.972	262379.979	227534.145	4959.568	4376.918	4807.403	4242.629	224338.419	202321.386	2411194.950	2174555.326
5000.064	5000.075	0.000	0.000	0.000	0.000	2.416	1.206	2.416	1.206	2.416	1.372	2.416	1.372	19.154	16.198	19.167	16.536	19.154	10.249	19.152	9.136	17.072	14.296	17.071	14.607	17.091	14.625	17.072	15.005	17.135	15.060	0.000	0.000	0.000	0.000	98126.526	48970.680	151845.510	75779.487	370.633	210.440	487.525	276.810	126406.022	106896.543	4411.255	3805.614	1202676.149	643534.502	32820.783	15657.258	251015.230	210201.204	4744.749	4060.077	4599.179	3935.513	214621.405	188634.538	2306756.905	2027449.318
5000.075	5000.085	0.000	0.000	0.000	0.000	2.190	0.925	2.190	0.925	2.190	1.085	2.190	1.085	17.479	14.301	17.491	14.654	17.479	8.059	17.477	6.983	15.592	12.609	15.590	12.936	15.609	12.952	15.592	13.356	15.649	13.405	0.000	0.000	0.000	0.000	88948.638	37555.560	137643.223	58115.204	335.967	166.491	441.926	219.000	115349.955	94376.000	4025.428	3372.600	1097484.415	506052.895	29950.119	11966.396	229248.826	185390.130	4333.315	3595.506	4200.374	3485.200	196010.835	167902.384	2106731.037	1804620.456
5000.085	5000.096	0.000	0.000	0.000	0.000	1.887	0.674	1.887	0.674	1.887	0.816	1.887	0.816	15.149	11.991	15.159	12.334	15.149	6.019	15.147	5.069	13.523	10.561	13.522	10.879	13.538	10.892	13.523	11.290	13.573	11.331	0.000	0.000	0.000	0.000	76649.329	27380.606	118610.705	42370.012	289.512	125.222	380.819	164.715	99973.175	79136.175	3488.819	2838.707	951183.749	377952.288	25957.602	8686.192	198831.029	155276.790	3758.350	3023.810	3643.053	2931.047	170003.209	141925.805	1827200.904	1525423.904
5000.096	5000.107	0.000	0.000	0.000	0.000	1.589	0.480	1.589	0.480	1.589	0.600	1.589	0.600	12.825	9.821	12.833	10.141	12.825	4.391	12.823	3.594	11.456	8.639	11.455	8.936	11.468	8.947	11.456	9.321	11.498	9.355	0.000	0.000	0.000	0.000	64544.801	19506.317	99879.601	30184.974	243.792	92.032	320.680	121.057	84635.291	64816.610	2953.566	2333.858	805253.142	275712.283	21975.185	6158.394	168432.752	127024.506	3183.754	2483.765	3086.088	2407.572	144012.272	117173.150	1547850.044	1259382.017
5000.107	5000.118	0.000	0.000	0.000	0.000	1.260	0.322	1.260	0.322	1.260	0.415	1.260	0.415	10.254	7.597	10.261	7.874	10.254	3.024	10.253	2.405	9.169	6.677	9.168	6.934	9.179	6.943	9.169	7.270	9.202	7.296	0.000	0.000	0.000	0.000	51169.315	13077.416	79181.758	20236.597	193.271	63.657	254.226	83.733	67671.865	50135.627	2361.585	1812.099	643856.497	189883.300	17570.703	4121.769	134804.950	98166.354	2548.114	1927.372	2469.951	1868.251	115260.047	91390.327	1238820.955	982267.964
5000.118	5000.129	0.000	0.000	0.000	0.000	0.961	0.208	0.961	0.208	0.961	0.276	0.961	0.276	7.903	5.665	7.909	5.894	7.903	2.009	7.902	1.553	7.075	4.976	7.074	5.189	7.083	5.195	7.075	5.467	7.101	5.488	0.000	0.000	0.000	0.000	39024.189	8439.148	60387.829	13059.127	147.398	42.377	193.885	55.742	52156.312	37385.781	1820.132	1356.385	496235.485	126131.251	13542.156	2661.071	104023.640	73155.534	1966.278	1442.191	1905.968	1397.955	88941.612	68732.995	955949.943	738746.476
5000.129	5000.140	0.000	0.000	0.000	0.000	0.730	0.134	0.730	0.134	0.730	0.183	0.730	0.183	6.055	4.199	6.059	4.385	6.055	1.326	6.054	0.996	5.425	3.685	5.425	3.858	5.431	3.863	5.425	4.086	5.445	4.101	0.000	0.000	0.000	0.000	29653.748	5426.433	45887.577	8397.113	112.005	28.110	147.330	36.975	39958.522	27711.923	1394.459	1009.216	380180.950	83280.921	10375.052	1707.704	79767.000	54174.098	1507.773	1072.360	1461.529	1039.470	68201.858	51367.877	733038.411	552105.590
5000.140	5000.151	0.000	0.000	0.000	0.000	0.522	0.081	0.522	0.081	0.522	0.114	0.522	0.114	4.381	2.939	4.384	3.081	4.381	0.826	4.381	0.603	3.930	2.577	3.930	2.710	3.934	2.713	3.930	2.884	3.944	2.895	0.000	0.000	0.000	0.000	21220.917	3282.130	32838.225	5078.919	80.153	17.543	105.433	23.076	28912.130	19395.994	1008.967	709.056	275081.273	51886.929	7506.905	1033.914	57783.204	37891.142	1092.231	753.130	1058.734	730.032	49405.417	36261.190	531013.579	389738.323
5000.151	5000.162	0.000	0.000	0.000	0.000	0.341	0.045	0.341	0.045	0.341	0.065	0.341	0.065	2.899	1.882	2.901	1.980	2.899	0.472	2.899	0.335	2.604	1.650	2.604	1.741	2.607	1.744	2.604	1.863	2.614	1.870	0.000	0.000	0.000	0.000	13862.116	1816.154	21450.877	2810.400	52.359	10.012	68.872	13.170	19132.463	12420.518	667.680	455.764	182033.708	29615.740	4967.657	573.653	38290.277	24252.715	723.771	484.012	701.576	469.169	32738.701	23422.051	351878.798	251742.516
5000.162	5000.173	0.000	0.000	0.000	0.000	0.217	0.024	0.217	0.024	0.217	0.036	0.217	0.036	1.878	1.179	1.879	1.246	1.878	0.263	1.878	0.182	1.691	1.034	1.691	1.096	1.693	1.098	1.691	1.179	1.697	1.183	0.000	0.000	0.000	0.000	8798.882	974.939	13615.795	1508.666	33.234	5.545	43.716	7.294	12393.541	7783.394	432.507	286.693	117916.978	16524.571	3217.926	311.061	24859.981	15204.401	469.908	304.681	455.500	295.338	21255.618	14819.399	228457.823	159280.603
5000.173	5000.184	0.000	0.000	0.000	0.000	0.113	0.011	0.113	0.011	0.113	0.017	0.113	0.017	1.001	0.609	1.001	0.645	1.001	0.121	1.001	0.081	0.903	0.534	0.903	0.568	0.904	0.569	0.903	0.614	0.906	0.616	0.000	0.000	0.000	0.000	4606.197	433.753	7127.842	671.209	17.398	2.543	22.885	3.345	6604.309	4016.348	230.476	148.484	62835.973	7618.353	1714.778	139.486	13273.466	7846.943	250.898	157.871	243.206	153.031	11348.991	7716.848	121980.417	82941.668
5000.184	5000.195	0.000	0.000	0.000	0.000	0.054	0.004	0.054	0.004	0.054	0.007	0.054	0.007	0.491	0.289	0.491	0.307	0.491	0.051	0.491	0.034	0.444	0.254	0.444	0.271	0.445	0.271	0.444	0.294	0.446	0.295	0.000	0.000	0.000	0.000	2205.918	176.137	3413.539	272.563	8.332	1.065	10.960	1.401	3239.767	1907.114	113.061	70.769	30824.409	3227.393	841.190	57.454	6529.363	3729.542	123.419	75.337	119.636	73.027	5582.693	3701.012	60003.563	39778.996
5000.195	5000.205	0.000	0.000	0.000	0.000	0.024	0.002	0.024	0.002	0.024	0.003	0.024	0.003	0.224	0.127	0.224	0.136	0.224	0.020	0.224	0.013	0.203	0.112	0.203	0.120	0.203	0.120	0.203	0.131	0.204	0.132	0.000	0.000	0.000	0.000	988.149	66.321	1529.108	102.629	3.732	0.414	4.909	0.545	1479.225	841.336	51.622	31.343	14073.923	1262.304	384.074	21.815	2986.044	1644.811	56.443	33.367	54.713	32.344	2553.108	1647.879	27441.230	17711.678
5000.205	5000.216	0.000	0.000	0.000	0.000	0.007	0.000	0.007	0.000	0.007	0.001	0.007	0.001	0.072	0.039	0.072	0.042	0.072	0.006	0.072	0.003	0.065	0.035	0.065	0.038	0.065	0.038	0.065	0.041	0.066	0.041	0.000	0.000	0.000	0.000	296.540	17.049	458.879	26.382	1.120	0.110	1.473	0.144	472.372	260.543	16.485	9.741	4494.331	350.996	122.649	5.907	961.769	512.848	18.180	10.443	17.623	10.123	822.325	518.210	8838.447	5569.784
5000.216	5000.227	0.000	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.001	0.000	0.001	0.000	0.014	0.007	0.014	0.008	0.014	0.001	0.014	0.001	0.013	0.007	0.013	0.007	0.013	0.007	0.013	0.008	0.013	0.008	0.000	0.000	0.000	0.000	54.934	2.690	85.008	4.163	0.207	0.018	0.273	0.023	90.722	48.466	3.166	1.819	863.162	58.376	23.555	0.956	185.399	95.581	3.504	1.954	3.397	1.894	158.519	97.441	1703.779	1047.309
5000.227	5000.238	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.001	0.001	0.001	0.000	0.001	0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	3.784	0.156	5.856	0.241	0.014	0.001	0.019	0.001	7.213	3.720	0.252	0.140	68.626	3.961	1.873	0.063	14.984	7.442	0.283	0.153	0.275	0.148	12.811	7.661	137.696	82.344
