date, cw.ev.mu, cw.ev.unc, zo.ev.mu, zo.ev.unc, mn.res.mu, mn.res.unc, cu.la.cts.per.na.sec.mu, cu.la.cts.per.na.sec.unc
2016-05-18, 5.003859, 0.000185, -103.08762, 0.23427, 129.8153, 0.1122, 6635.07, 7.22
2016-05-25, 5.003796, 0.000307, -103.07706, 0.38681, 129.8336, 0.1860, 6922.81, 12.50
2016-05-31, 5.003504, 0.000241, -103.00698, 0.30848, 129.7829, 0.1443, 7165.14, 10.13
2016-06-06, 5.003781, 0.000242, -103.08372, 0.30479, 129.7637, 0.1472, 7282.16, 10.36
2016-06-13, 5.004098, 0.000238, -103.01893, 0.30172, 129.8771, 0.1435, 7253.49, 9.98
2016-06-14, 5.003702, 0.000247, -102.91743, 0.31768, 129.8510, 0.1483, 6405.12, 9.38
2016-06-17, 5.003612, 0.000246, -102.97240, 0.31583, 129.8373, 0.1469, 6541.43, 9.48
