t.C.nm, C.Int.mu,  C.Int.unc, Si.Int.mu, Si.Int.unc
0.000,7.930,0.560,69033.930,52.550
5.000,69.560,1.670,69064.960,52.560
10.000,136.500,2.340,68403.030,58.850
15.000,192.180,2.770,68717.880,52.430
20.000,258.090,3.210,69102.890,52.580
25.000,323.080,3.600,68256.880,52.250
30.000,396.560,3.980,68112.670,52.200
35.000,452.790,4.260,68155.290,52.210
40.000,515.980,4.540,68130.350,52.200
45.000,584.870,4.840,68122.200,52.200
50.000,651.780,5.110,67699.630,52.040
55.000,722.040,5.380,67726.400,52.050
60.000,784.410,5.680,67329.850,51.900
65.000,826.560,5.750,67431.630,51.940
70.000,905.580,6.020,67053.160,51.790
75.000,976.180,6.250,67356.580,51.910
80.000,1053.790,6.580,66980.510,51.760
85.000,1102.700,6.770,67069.000,51.800
90.000,1177.120,6.860,66588.370,51.610
95.000,1262.950,7.110,66654.760,51.640
100.000,1298.370,7.210,66619.400,51.620
