t.C.nm, C.Int.mu, C.Int.unc, Si.Int.mu, Si.Int.unc
0.000,32.640,1.560,5902.930,15.370
10.000,364.100,3.820,5635.490,15.010
20.000,762.880,5.520,5409.790,14.710
30.000,1123.760,6.700,5085.380,14.260
40.000,1506.660,7.760,4758.240,13.800
50.000,1907.450,8.740,4457.030,13.350
60.000,2323.720,9.640,4148.700,12.880
70.000,2735.040,10.460,3845.330,12.400
80.000,3140.000,11.210,3556.160,11.930
90.000,3518.040,11.860,3215.930,11.340
100.000,3981.190,12.620,2870.730,10.720
