t.nm, kC, kFe
0,0.00000,1.00000
5,0.35163,0.00000
10,0.56065,0.00000
15,0.74245,0.00000
20,0.87684,0.00000
22,0.91846,0.00000
25,0.96342,0.00000
30,0.99192,0.00000
35,0.99561,0.00000
40,0.99796,0.00000
